n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_prop_constraint
19	1	2	1	0	0	4	5	0	1	0	3	0	2	4.0	4	1	1	2	0	0	 Despite the recent turmoil, the artist remains an optimist, his creativity blossoming even amid the chaos.	2
13	1	1	1	0	1	0	2	0	1	1	2	0	2	3.0	7	1	1	1	0	0	Despite her intelligence and hard work, Mary still struggled to succeed.	2
10	1	1	0	0	0	3	3	0	0	0	1	0	1	2.0	6	0	0	1	1	0	The cat chased the butterfly across the vibrant meadows.	2
12	0	0	0	1	1	2	3	0	2	0	1	0	2	3.0	4	1	1	2	1	0	She is the girl who both enjoys and hates video games.	2
16	1	1	0	2	0	3	3	0	1	0	2	1	2	4.0	4	2	1	1	0	1	Since the weather is beautiful, there will be no birds singing in the forest.	2
14	1	2	0	0	1	2	4	0	0	0	2	0	2	4.0	7	1	1	1	1	0	The rain pours down, bringing relief and restoration to the parched earth.	2
13	0	2	0	0	0	1	4	0	2	0	1	0	3	3.0	5	2	1	2	2	1	The girl who enjoys dancing loves playing piano on her days off.	2
21	1	3	0	0	1	4	6	0	1	0	2	0	3	5.0	5	1	1	2	1	0	The dog barked in the park and chased the cat up a tree, its tail wagging with pure exuberance.	2
25	4	1	2	1	2	2	5	0	3	0	2	0	2	5.0	6	1	1	1	1	0	She was both a brilliant student and a loyal friend, contributing to her academic success and earning her parents' respect even more.	2
4	1	0	0	0	0	0	2	0	0	0	1	0	0	1.0	1	0	0	0	0	0	 **Subordinate Proposition 1**  Despite her initial fear of the unknown, Sarah embraced a life of discovery.	2
5	0	0	0	0	0	1	1	0	0	0	2	0	0	1.0	3	0	0	0	0	0	Sure, no problem.	2
15	1	2	0	0	0	1	4	0	2	0	2	0	3	4.0	4	1	1	1	1	0	  Despite their differences, they shared a deep bond formed through shared childhood memories.	2
13	0	2	0	0	1	3	4	0	0	0	1	0	2	3.0	5	0	0	1	1	0	The boy sat beneath a tree and told stories to the birds.	2
1	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0	0	.	2
11	0	1	0	0	1	2	3	0	1	0	1	0	2	3.0	5	0	0	1	1	0	  He went to the movies and saw a superhero movie.	2
20	2	1	2	0	1	3	5	0	0	0	2	0	2	3.0	7	1	1	1	1	0	  Despite the recent economic turmoil, the community's children still have the joy and freedom to run around..	2
20	2	3	0	0	0	2	6	0	1	0	3	0	3	5.0	4	2	2	2	2	0	Despite the storm, the lighthouse remained steadfast, projecting unwavering beams of hope that guided sailors to safety.	2
20	2	2	0	0	0	4	5	0	1	0	3	0	3	4.0	7	1	1	2	1	0	The young boy walked through the rain, his laughter echoed through the streets, illuminating the desolate landscape.	2
24	4	1	0	0	0	3	4	0	1	0	6	1	3	5.0	9	2	1	1	2	1	"  ""The child, while tending to their neglected task, realized the urgent need to complete the long-overdue project."""	2
18	3	2	0	0	0	3	6	0	0	0	2	0	2	5.0	4	1	1	1	1	0	The bustling city street became quiet after the storm, a serene reminder of life overcoming adversity.	2
16	1	0	0	1	0	2	3	0	1	0	3	1	2	4.0	4	2	1	1	2	1	  **Despite not being a human, she found a way to escape certain dangers.**	2
25	1	0	2	4	0	1	3	0	5	0	2	2	4	4.0	14	4	2	4	1	2	  If I had known that my hair was a different color today, I would not have gotten so tangled when I washed it..	2
27	3	4	0	1	0	4	4	0	2	1	2	1	5	5.0	10	3	1	3	1	2	The young, adventurous girl who dreams of flying to Mars explored the abandoned city on the distant planet through a portal she had stumbled upon.	2
13	2	2	0	0	0	2	3	1	1	0	1	0	1	3.0	10	0	0	0	0	0	  There were two young women in the garden at the same time.	2
16	0	2	2	0	1	0	3	0	4	0	2	0	2	3.0	8	0	0	1	2	0	She found her keys by accident, and then lost them again in her purse.	2
24	4	2	0	1	1	2	4	1	1	0	6	0	1	4.0	10	1	1	2	0	0	"Sure, a sentence with 2 subordinate propositions is: ""Despite the harsh weather, her spirit remained strong and determined."""	2
26	2	3	0	0	1	5	7	0	1	0	3	1	3	6.0	16	2	0	2	2	2	As the morning sunlight filtered through the cracks in the curtains, creating a warm and gentle aura, I felt a sense of rejuvenation.	2
12	1	1	0	1	0	1	2	1	1	0	2	0	1	2.0	6	0	0	1	1	0	Sure, I can generate a sentence with two subordinate propositions.	2
23	3	5	0	1	0	2	7	0	1	0	3	0	1	5.0	8	0	0	1	0	0	The bustling city, with its towering skyscrapers, is home to a wide range of creatures from different walks of life.	2
12	1	2	0	1	0	1	3	0	1	0	1	0	2	4.0	4	1	1	1	0	0	The city is bustling with people going about their daily lives.	2
24	2	0	1	1	1	2	6	0	2	0	3	0	4	5.0	10	3	2	2	3	1	My pet cat, who is lazy and hates walking, still managed to find an adventurous route to visit the neighborhood park.	2
25	6	2	2	0	0	4	6	0	0	0	2	0	3	5.0	9	2	2	1	2	0	The sun shines brightly despite gloomy weather today, creating a contrasting scene juxtaposing the vibrant blue sky to the dreary gray landscape below.	2
1	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0	0	  - If the Earth had a heartbeat, it would feel a sense of urgency to continue circling the sun.	2
27	7	2	0	0	1	4	7	0	0	0	3	0	3	5.0	8	1	1	2	2	0	The bustling city life became tranquil, and the warm sunrays cast gentle shadows over the bustling streets, creating a harmonious contrast of contrasting emotions.	2
15	1	1	1	1	1	1	3	0	2	0	2	0	2	3.0	6	0	0	1	0	0	My dog can both run and swim, a unique ability of his breed.	2
12	1	0	1	1	0	1	3	0	2	0	2	0	1	5.0	3	2	2	1	1	0	Sure thing, here's a sentence that fits your instructions:  Despite the relentless heat waves and relentless droughts, the garden bloomed brightly, with beautiful flowers reaching for the sky even amidst the scorching conditions.	2
18	3	1	1	0	0	2	4	1	1	0	2	0	3	6.0	4	2	2	1	1	0	There are two prominent mountains overlooking this peaceful lake, where wildflowers bloom throughout the warm season.	2
15	1	3	0	0	0	3	4	0	0	0	2	0	1	3.0	10	0	0	1	0	0	 **The dog barked at the bird due to the bird's loud singing.**	2
19	2	3	0	0	0	4	6	0	0	0	2	0	2	4.0	8	1	1	1	2	0	The sun casts long shadows on the beach, casting a sense of tranquility onto the warm sand.	2
42	5	2	2	4	3	3	7	0	3	0	4	1	6	8.0	14	4	1	4	2	3	    *If people were able to choose a single topic to investigate and understand deeply, we would have a richer society where diverse fields could flourish and each person could contribute to something meaningful within their expertise and curiosity.*   This sentence incorporates two subordinate propositions	2
15	2	2	0	1	0	3	4	0	0	0	1	0	2	4.0	4	1	1	1	0	0	  The vibrant city was illuminated by the golden sunbeams dancing on the cascading river.	2
25	0	2	2	2	1	3	7	0	2	0	1	1	2	4.0	8	0	0	2	2	0	The artist's dream was that his painting would not only portray the beauty of his creation but also capture the joy of life.	2
14	0	1	0	1	0	2	4	1	1	0	1	0	3	6.0	3	2	2	1	2	0	My eyes will see three trees standing on a hill overlooking the river.	4
20	1	1	1	0	1	3	7	0	0	0	5	0	1	3.0	11	0	0	1	1	0	The sun, clouds, mountains, wind, and trees together painted a magnificent tapestry across the sky.	4
25	6	3	0	0	0	4	5	0	2	0	3	0	2	5.0	6	1	1	2	1	0	 Despite the torrential rain, the playful dolphins frolicked on the sandy shores, oblivious to the gloomy sky that threatened their playful spirits.	4
14	0	1	1	0	0	3	3	0	0	0	2	1	3	4.0	5	2	2	2	0	0	The cat sat on the mat, watching while the humans played outside.	4
21	3	3	0	0	1	3	7	0	0	0	2	0	2	5.0	10	1	1	1	1	0	The tiny particles danced around the blooming tulip, creating mesmerizing trails of color and light upon the dewy ground.	4
22	2	3	2	1	0	4	5	0	0	0	2	0	2	4.0	6	1	1	1	1	0	Even the wildest storm will not extinguish this spark of creativity, burning brightly within the heart of the determined individual.	4
12	2	1	0	0	0	2	5	0	0	0	1	0	1	2.0	7	0	0	1	1	0	The dancing shadows painted intricate designs on the weathered rock wall.	4
25	3	2	2	2	0	3	5	0	1	0	3	0	4	7.0	6	3	3	3	1	0	  The young child ran swiftly into the unknown forest, his heart pounding with awe, wondering where the majestic beast might be hiding.	4
23	3	3	1	0	1	3	6	0	0	0	2	1	3	4.0	11	1	1	1	1	0	Despite the relentless barrage of distractions and demanding deadlines, the diligent worker diligently persevered in completing the intricate task at hand.	4
16	1	0	1	1	0	1	4	0	3	0	2	0	3	3.0	5	2	1	3	2	1	  **The girl who loves animals was devastated when she lost her beloved pet bird.**	4
22	2	3	0	0	0	4	6	0	0	0	3	0	3	3.0	10	1	1	1	1	0	 **Despite the relentless heat, the children managed to find solace in the cool oasis during a scorching summer day.**	4
33	4	4	0	0	3	2	7	0	3	1	3	1	5	7.0	10	3	3	3	1	0	John laughed and spoke, feeling grateful and alive as he gazed out his office window on the bustling city, his heart filled with joy and hope for a better future.	4
1	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0	0	.	4
21	4	4	0	0	0	3	5	0	1	0	2	0	2	5.0	8	1	1	1	1	0	The giant octopus waved in the vast ocean of darkness, leaving a mesmerizing trail of shimmering shells behind it.	4
23	3	2	2	1	0	2	3	0	2	0	4	1	3	3.0	6	3	2	2	1	1	 **While the bustling streets below were alive with activity, they suddenly came to a peaceful standstill, leaving everyone stunned.**	4
15	1	1	1	2	0	0	1	0	5	0	2	0	2	5.0	4	1	1	3	2	0	She is so capable, she can achieve whatever she sets her mind to.	4
14	2	1	0	2	0	0	2	0	3	0	1	0	2	4.0	7	2	2	2	0	0	 There are many things we can do that are not harmful to others.	4
19	3	2	0	0	1	2	5	0	2	0	2	0	2	4.0	13	1	1	1	1	0	  There were birds of various sizes and colors in the beautiful meadow, each singing its melancholic song.	4
18	3	3	0	0	1	3	4	0	1	0	2	0	1	3.0	6	0	0	1	0	0	 Despite the heavy rain and cloudy skies, I went for a hike in the beautiful forest.	4
37	2	5	0	0	2	6	11	0	1	0	3	0	6	7.0	9	2	2	1	3	0	The sun rose over the horizon with vibrant orange colors, illuminating both sides of the towering waterfall and casting its light upon the surrounding landscape, showcasing the vastness and beauty of nature's wonders.	4
32	2	4	1	0	1	7	9	0	1	0	3	0	4	9.0	8	3	3	2	0	0	The dog ran through the forest, its playful barking echoing throughout the serene afternoon, a symphony orchestrated by the rustling leaves and the birds chirping softly in the distance.	4
23	1	3	1	0	1	4	4	0	2	0	3	0	4	5.0	16	1	1	1	2	0	The boy ran into the woods without anyone seeing him, leaving a single footprints, and then vanished into the darkness.	4
19	1	3	0	0	0	3	5	0	1	0	4	0	2	3.0	6	1	1	1	1	0	 > Despite its bleakness, a glimmer of optimism emerged, illuminating the path towards a brighter future.	4
32	4	3	1	0	2	3	10	0	0	0	6	0	3	5.0	20	1	1	1	1	0	The bustling city streets overflowed with vibrant life, diverse characters, pulsating music, and the ever-present scent of hope, generating an atmosphere of excitement and discovery.	4
22	3	2	1	0	1	2	4	0	2	0	3	0	3	5.0	7	2	2	1	1	0	 **The beautiful scenery contrasted sharply with the gloomy atmosphere, leading us to reflect on life and its bittersweet nature.**	4
22	3	2	0	0	1	4	8	0	0	0	1	1	2	4.0	12	1	1	2	1	0	The rainy streets painted a contrasting picture of chaos and tranquility as the rushing river meandered beneath the vibrant neon cityscape.	4
31	1	5	1	0	2	5	7	0	1	0	4	0	5	5.0	11	2	1	1	2	1	The boy, dressed in blue and carrying a backpack, walked down the path to school with the dogs, happily jumping and wagging their tails along the way.	4
26	3	3	0	0	1	2	5	0	4	0	3	0	5	6.0	7	3	2	2	2	1	Despite the tumultuous circumstances that engulfed her life, she remained resilient, remaining focused on the future and pursuing her dreams with unwavering determination.	4
18	1	1	0	2	0	3	3	1	1	0	1	1	2	3.0	12	1	1	2	2	0	None.	4
32	5	4	0	0	2	4	10	0	1	0	2	0	3	6.0	10	2	2	1	1	0	The artist's abstract paintings painted with vibrant colors exhibited at an art showcase, captivating a diverse audience with its intricate details and a unique blend of realism and surrealism.	4
17	2	2	1	1	1	2	5	0	0	0	2	0	1	3.0	7	0	0	1	0	0	 Despite the recent storms, the park was blooming profusely with tulips and daisies last weekend.	4
15	0	1	0	0	0	2	3	0	1	0	3	1	3	3.0	8	2	1	1	1	1	 My sister, while sitting on the couch, decided to take a nap.	4
