n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	n_obj_post.1	n_subj_pre.1	sentence	obj_post_constraint
2	0	0	0	0	0	0	1	0	0	0	1	0	0	0.0	0	0	0	0	0	0	0	0	None.	1
11	0	0	0	0	0	1	3	0	2	0	2	0	2	3.0	6	1	1	1	2	0	2	1	 The manager approved their employee's proposal, delighting everyone. 	1
11	2	0	1	0	0	1	2	0	2	0	1	0	2	3.0	4	1	1	1	2	0	2	1	I happily helped the homeless horse hoist his heavy hay.	1
4	0	0	0	0	0	0	1	1	1	0	0	0	1	2.0	2	0	0	1	1	0	1	1	I bought three apples	1
15	3	1	0	1	1	2	4	0	0	0	0	0	2	3.0	10	2	1	1	2	1	2	1	Sending the package by truck is a quick and secure way to transport perishable goods	1
10	2	0	1	0	0	0	2	1	1	0	2	0	1	3.0	6	0	0	1	1	0	1	1	I happily devoured one delicious double-chocolate cake. 	1
21	1	3	0	0	1	3	8	0	1	0	2	0	2	5.0	9	1	1	1	1	0	1	1	The new sports car zoomed up the winding road, leaving a trail of rubber and dust in its path. 	1
7	0	1	0	0	0	0	2	1	0	1	1	0	1	2.0	4	0	0	1	1	0	1	1	Susan ate four sandwiches with mustard. 	1
8	0	1	1	0	0	0	2	1	0	1	1	0	1	2.0	5	0	0	1	1	0	1	1	Ivan chopped wood vigorously with three axes. 	1
8	0	1	0	0	0	2	2	0	1	0	1	0	1	2.0	5	0	0	1	1	0	1	1	I put the book   on the desk. 	1
9	1	0	1	0	0	1	2	1	0	1	0	0	2	3.0	4	1	0	1	3	1	3	1	Eating a whole apple took Jane only three bites	1
13	1	1	1	0	0	0	2	2	2	0	1	1	2	4.0	4	1	1	1	2	0	2	1	I happily assist you by creating one sentence with one postverbal object: The big dog happily wagged its tail	1
7	0	0	1	0	0	1	2	0	1	0	1	0	1	2.0	2	0	0	1	1	0	1	1	The cat happily chased its toy.	1
23	1	3	1	0	0	5	7	0	0	0	2	1	3	5.0	9	2	2	3	1	0	1	3	The dog chased the ball with excitement, the ball bouncing away with a triumphant arcs as the dog pursued with glee. 	1
12	0	0	0	0	0	3	4	0	0	0	1	0	2	4.0	4	1	1	1	2	0	2	1	The bear climbed the tree to find the birds' nest.	1
12	0	2	0	0	0	3	3	0	0	0	3	0	1	2.0	6	0	0	1	1	0	1	1	" ""The cat chased the toy out of the room."""	1
12	0	1	1	0	0	3	3	0	0	0	2	0	2	3.0	6	1	1	1	1	0	1	1	The dog ran quickly across the field, chasing the ball.	1
21	3	1	1	0	0	2	7	0	2	0	2	0	3	6.0	6	2	2	2	3	0	3	2	The new manager effectively led the team through several training sessions, which helped them learn new project management strategies. 	1
15	0	0	0	0	0	2	3	1	1	0	4	1	3	3.0	8	1	1	2	2	0	2	2	I completed the task as follows:  The cat chased **three** mice. 	1
9	0	1	0	0	0	2	3	1	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	The cat chased three mice under the couch.	1
7	1	0	0	1	0	2	2	0	0	0	0	0	1	2.0	2	0	0	1	1	0	1	1	The new employee was given a guidebook	1
12	0	1	1	1	0	2	2	0	2	0	1	0	2	3.0	5	0	0	2	1	0	1	2	I can certainly do that:   The book fell off the shelf	1
18	0	2	3	0	1	2	5	0	1	0	2	0	2	3.0	10	0	0	2	1	0	1	2	   The woman carefully studied the puzzle box for hours, and finally it clicked together with triumph. 	1
16	1	1	0	1	1	1	4	0	3	0	2	0	2	3.0	7	1	0	1	2	1	2	1	  Having eaten a large breakfast, she took her books and her purse to school. 	1
14	0	3	0	0	0	2	5	0	0	0	2	0	2	4.0	6	1	1	1	0	0	0	1	The cat chased after the laser pointer, dodging between furniture with ease. 	1
11	1	1	1	1	0	0	2	2	0	0	2	0	0	3.0	4	0	0	0	0	0	0	0	OK, here's one sentence with one postverbal object: The cat chased a mouse under the rug.	1
11	0	2	0	1	0	0	3	1	2	0	1	0	1	3.0	7	0	0	1	1	0	1	1	  I will drink two glasses of water at my desk. 	1
17	0	3	0	0	0	3	5	1	0	1	2	0	2	5.0	6	1	1	1	2	0	2	1	Sally ate three sandwiches in silence, pondering the complexity of the cats on the moon.	1
5	0	0	0	0	0	1	1	0	0	1	1	0	1	2.0	2	0	0	1	1	0	1	1	 Jim ate a sandwich. 	1
6	0	0	0	0	0	2	2	0	0	0	1	0	1	2.0	2	0	0	1	1	0	1	1	  The cat caught a mouse.	1
10	1	1	1	1	0	1	2	1	0	0	1	0	0	3.0	4	0	0	0	0	0	0	0	Ok, here is the sentence with 1 postverbal object	1
12	1	2	0	0	0	1	2	1	0	1	1	0	2	3.0	5	1	1	1	1	0	1	1	Mary bought four new notebooks to write in at the bookstore. 	1
8	0	0	0	0	0	1	2	0	1	1	2	0	1	3.0	3	0	0	1	1	0	1	1	Sarah handed the book ___Tom___ her sister. 	1
9	1	0	0	0	0	1	2	0	1	1	1	0	2	3.0	7	0	0	1	2	0	2	1	  John gave the book its long-desired place	1
10	0	0	1	0	0	1	3	0	1	0	1	0	3	4.0	6	2	1	1	2	1	2	1	Eating the ice cream cone quickly made it melt. 	1
20	1	2	0	0	0	3	4	1	0	0	7	0	2	3.0	9	1	1	2	2	0	2	2	"One postverbal object, ""ball,"" completes this task as in: ""The cat chased the .""  "	1
5	0	0	0	0	0	1	2	1	0	0	0	0	1	2.0	2	0	0	1	1	0	1	1	  The cat chased one mouse	1
14	0	2	0	0	1	2	3	0	0	1	1	0	3	4.0	7	1	1	1	1	0	1	1	The puck dropped, flying across the ice and bounced off Sarah's stick	1
28	2	1	1	1	2	3	6	1	3	0	5	0	3	4.0	11	1	1	3	2	0	2	3	My pleasure, below is a sentence meeting your request, with two postverbial objects : I ate a burrito and fries, and both tasted great. 	2
14	2	0	2	0	1	3	3	0	0	0	1	0	2	3.0	6	0	0	1	2	0	2	1	The team carefully analyzed the detailed data and precisely evaluated the intricate project. 	2
30	3	3	2	0	1	7	6	2	0	0	3	1	2	5.0	11	1	1	2	0	0	0	2	The two postverbal objects, one a ball and the other a glove, flew through the air simultaneously in a graceful arc before landing gently in the grass. 	2
15	1	2	1	0	1	2	4	1	0	1	0	0	2	4.0	6	0	0	1	1	0	1	1	Juan enjoyed two freshly baked cookies and a glass of cold water at the park	2
32	4	5	0	0	1	3	9	0	2	0	3	0	4	3.0	21	1	1	2	0	0	0	2	The big red car rode willy-nilly over hill and dale, with a sleeping toy in its rear seats _and_ a crumpled balloon sticking out of its busted antenna. 	2
11	0	1	0	0	1	2	3	1	0	1	1	0	1	3.0	8	0	0	1	1	0	1	1	   Tammy took two apples and a pencil from the jar. 	2
9	0	2	0	0	0	1	3	1	0	0	1	0	1	3.0	3	0	0	1	1	0	1	1	The cat lapped up two bowls of milk. 	2
11	0	2	0	0	1	3	3	0	0	1	0	0	1	3.0	8	0	0	1	1	0	1	1	 The girl threw the ball and the Frisbee out of bounds	2
23	0	2	4	0	1	3	4	0	3	0	2	0	4	4.0	6	2	2	1	1	0	1	1	Both my cats wolfed down their food and drank all their milk, immediately jumping up onto the window silently staring outside. 	2
25	3	1	0	0	2	3	9	0	0	0	2	0	3	5.0	7	1	0	1	1	1	1	1	The new camera purchased last weekend takes crystal-clear photographs of both the baby's smiling face and the family's vacation adventures. 	2
9	0	0	1	1	0	1	1	0	1	0	2	0	1	3.0	3	1	1	1	0	0	0	1	"Okay, here is the sentence you requested. I have written a sentence with 2 postverbal objects below:  ""She gave him both his shoes and books.""  "	2
11	2	0	0	0	2	1	3	0	1	0	1	0	1	3.0	7	0	0	1	1	0	1	1	The cat licked both their furry ears and whiskers clean. 	2
9	0	1	0	0	1	1	3	0	1	1	0	0	1	3.0	4	0	0	1	1	0	1	1	  Brett sent gifts to his grandmother and the cat	2
14	0	1	0	0	2	4	4	1	0	0	1	0	1	3.0	9	0	0	1	1	0	1	1	The two dogs chased both the cat and the ball down the street.	2
9	0	1	0	0	0	2	3	1	0	0	1	0	1	2.0	5	0	0	1	1	0	1	1	  The teacher handed two books to each student.	2
15	2	2	0	1	1	1	4	1	0	0	1	0	2	3.0	6	0	0	1	0	0	0	1	The gift bag was decorated with two colorful ribbons and filled with delicious chocolates.	2
21	2	3	0	0	1	1	7	2	1	1	2	0	1	5.0	19	0	0	1	1	0	1	1	Maria purchased two new books; one on quantum physics and the other on time management, for her college courses	2
8	0	0	1	1	0	0	2	0	2	0	2	0	0	2.0	3	0	0	1	0	0	0	1	My pleasure, here is your sentence: The teacher returned the book and the notebook to the shelf. 	2
21	2	2	1	0	0	4	4	1	2	0	2	0	3	4.0	10	2	2	1	2	0	2	1	The cat carefully cleaned the two dirty balls with both its paws, leaving them sparkling bright in the grass. 	2
13	1	2	0	0	1	0	5	0	0	0	1	0	2	4.0	8	1	1	1	1	0	1	1	 Dogs love to chase rabbits in woods and squirrels up tall trees. 	2
18	1	1	3	0	1	1	4	1	1	0	2	0	3	4.0	5	1	1	1	2	0	2	1	The dog eagerly devoured two delicious cookies, crunching noisily with relish and smacking its lips delightfully. 	2
8	0	1	0	0	0	1	2	1	1	0	1	0	1	2.0	4	0	0	1	1	0	1	1	  The man gave two books to her. 	2
12	0	2	1	0	0	3	3	1	0	0	1	0	1	3.0	4	0	0	1	0	0	0	1	The two puppies ran happily after the stick into the pond.	2
8	0	0	1	0	0	1	2	1	0	0	1	0	1	2.0	4	0	0	1	1	0	1	1	The cat chased not only one mouse. but two mischievous ones under the sofa cushions. 	2
17	1	0	3	0	2	1	4	0	0	2	1	1	2	3.0	9	1	1	1	2	0	2	1	Jim and Tim simultaneously consumed twice as many cookies and ice cream after winning the contest. 	2
26	3	1	2	0	2	3	10	0	0	0	2	0	2	6.0	11	1	1	1	2	0	2	1	The new employee carefully reviewed the detailed company handbook twice, highlighting important points on both the company's dress code policy and benefits package. 	2
19	0	2	1	1	1	1	7	1	2	0	1	0	2	4.0	13	0	0	2	2	0	2	2	I can provide you with a sentence with two post verb objects below: Cats chase dogs and mice	2
10	1	2	0	0	0	2	4	0	0	0	0	0	1	2.0	7	0	0	1	0	0	0	1	 The cat played with the mouse toy for several minutes	2
8	0	1	0	0	0	2	3	1	0	0	0	0	1	2.0	5	0	0	1	1	0	1	1	The company sold the software to two customers	2
12	1	2	0	0	0	2	3	1	0	0	2	0	1	3.0	4	0	0	1	0	0	0	1	  * The instruction asks for a sentence with two postverbal objects. * The sentence you provided has two postverbal objects	2
14	1	2	1	0	1	0	3	1	0	2	2	0	1	4.0	11	0	0	1	1	0	1	1	Susan studied French for two years in high school and college, respectively. 	2
21	4	2	1	0	1	2	4	0	2	0	2	0	3	4.0	6	0	0	1	0	0	0	1	   The tired baby slept peacefully in her crib and snuggled with her favorite stuffed animal, a fluffy gray kitten. 	2
12	2	1	0	0	1	2	4	1	0	0	0	0	1	4.0	3	0	0	1	1	0	1	1	  The two bunnies cuddled the basket of fresh carrots and sweet lettuce	2
20	1	1	2	1	0	2	4	2	2	0	3	0	2	4.0	12	2	2	2	1	0	1	2	No problem; here's a sentence with two postverbal objects:  I saw her eat two cookies rapidly. 	2
10	0	0	0	0	2	3	3	0	0	0	1	0	1	3.0	3	0	0	1	1	0	1	1	The cat chased both the mouse and the ball.	2
11	0	0	0	0	1	2	4	0	1	0	1	0	1	4.0	5	0	0	1	1	0	1	1	The dog chased its tail and the cat's tail. 	2
10	0	0	1	0	1	3	3	0	0	0	1	0	1	3.0	6	0	0	1	1	0	1	1	 The dog chased the cat and the ball simultaneously.	2
18	1	3	0	0	0	4	4	1	1	0	2	0	2	4.0	8	1	1	1	1	0	1	1	The dog ran after both the sticks, fetching them one at a time with enthusiastic barks. 	2
22	2	2	0	0	2	1	5	2	1	2	1	0	3	4.0	10	1	1	1	1	0	1	1	Abigail purchased three colorful t-shirts and five vibrant handbags to wear and use during her summer vacation in the Caribbean. 	2
35	1	2	2	1	2	3	7	2	3	5	2	1	3	4.0	31	1	1	3	4	0	4	3	Jim gave his brother Tim not one but two books, a science fiction novel and a biography of Elon Musk, before he left for the airport so Tim could finally learn something new	2
10	1	0	0	0	0	1	4	1	1	0	1	0	1	2.0	6	0	0	1	2	0	2	1	  The boy gave his brother two identical rubber ducks. 	2
20	1	1	0	1	1	2	5	1	1	1	4	0	2	4.0	10	0	0	2	2	0	2	2	"I can generate a sentence with two postverbal objects: ""Jill painted the fence pink and yellow."" "	2
9	1	0	1	0	0	1	3	1	0	0	1	0	1	2.0	3	0	0	1	1	0	1	1	The two puppies joyfully chased fluffy tennis balls.	2
8	0	1	0	0	0	2	2	0	1	0	1	0	1	2.0	5	0	0	1	1	0	1	1	 She threw the frisbee over the beach.	2
10	0	0	1	0	0	2	3	1	0	0	2	0	1	3.0	3	0	0	1	1	0	1	1	 The waitress carefully balanced two plates ______________ the table. 	2
19	1	3	0	0	2	2	4	0	2	1	1	1	2	3.0	11	1	1	2	0	0	0	2	 The angry mob chased after both John and his cat for hours until they disappeared into the night. 	2
18	1	2	1	0	1	1	4	1	3	1	1	0	2	3.0	9	0	0	2	2	0	2	2	   Sarah gave two apples to her brother and then she gave some more to her pet hamster. 	2
8	0	1	0	0	0	0	3	1	0	2	0	0	1	2.0	6	0	0	1	2	0	2	1	   David handed Emily two cookies after lunch yesterday	2
15	1	0	0	1	1	3	3	1	0	0	5	0	0	2.0	5	0	0	1	0	0	0	1	"The two postverbal objects are ""the cat"" and ""the mouse."" "	2
9	0	1	0	0	0	1	3	2	0	0	1	0	1	3.0	2	0	0	1	1	0	1	1	  The two cats drank two cups of milk.	2
11	3	1	1	0	0	2	3	0	0	0	0	0	1	2.0	6	0	0	1	1	0	1	1	The fluffy kitten playfully batted the soft balls under several cushions	3
7	0	0	0	0	0	1	2	1	0	1	1	0	1	2.0	4	0	0	1	2	0	2	1	  John gave the cat three mice.	3
10	2	0	0	0	0	1	3	0	0	0	3	0	1	2.0	6	0	0	1	1	0	1	1	The big, green, rubber ball bounced thrice. 	3
16	0	2	1	0	1	2	3	0	1	0	3	0	3	3.0	11	0	0	1	1	0	1	1	The cat curled up on my lap, scratched the couch, and purred contentedly. 	3
13	0	1	0	0	0	3	4	1	0	0	1	1	2	3.0	7	1	1	1	2	0	2	1	The cat chased two mice into a corner while holding a toy. 	3
16	0	1	0	0	1	2	1	0	1	3	3	0	3	3.0	9	2	2	1	3	0	3	1	The ball bounced off Tom, John, and Sarah, causing them all to giggle	3
23	2	3	0	0	0	2	7	1	3	0	2	0	3	4.0	11	1	1	2	2	0	2	2	The teacher awarded three sticks of certified organic butter for her outstanding project presentation, which wowed everyone in the conference room. 	3
12	0	0	0	0	1	3	3	0	0	1	3	0	1	3.0	7	0	0	1	1	0	1	1	  Ellie eats an apple, a banana, and some chocolate. 	3
21	6	1	1	0	0	2	4	1	0	0	5	0	1	3.0	8	0	0	1	1	0	1	1	The large, furry, green monster carefully placed three identical cookies on the transparent, delicate, glass plate. 	3
10	1	1	1	0	0	1	2	1	1	0	1	0	1	2.0	6	0	0	1	1	0	1	1	I happily generated this paragraph with 3 postverbal objects:  The cat brought back a mouse as well as three other dead animals	3
8	0	0	1	1	0	2	2	0	0	0	1	0	1	4.0	3	1	1	0	1	0	1	0	 Here's a sentence meeting that instruction.	3
10	0	1	1	0	0	2	3	1	0	0	1	0	1	2.0	6	0	0	1	0	0	0	1	The cat pounced swiftly on the three toy mice. 	3
7	0	0	1	0	0	1	2	1	0	0	1	0	1	2.0	3	0	0	1	1	0	1	1	The cat devoured three mice silently. 	3
25	3	1	1	0	1	5	7	0	0	0	2	1	4	4.0	7	2	1	1	3	1	3	1	Flying high, the stunning eagle grabbed a shiny fish and devoured a succulent dragonfly while chasing a whistling whirlwind in the midnight sky. 	3
25	2	3	0	0	1	3	9	1	0	0	5	0	1	4.0	17	0	0	1	1	0	1	1	The team enjoyed three different kinds of ice cream - chocolate, vanilla, and strawberry - in the park on a sunny afternoon. 	3
70	2	5	5	4	3	8	12	5	7	0	5	2	10	7.0	30	5	5	5	6	0	6	5	Ten days later, we visited the same store to return the broken items and ask for the replacement ones, but we were told that all three of their factories had a total of four hundred machines down due to unscheduled maintenance and upgrades, so even if they could produce all the items we had ordered, it would take them another two weeks to do so. 	3
38	4	4	2	0	2	7	10	1	1	0	3	1	3	7.0	14	1	1	1	3	0	3	1	Our team carefully reviewed the lengthy document and thoroughly approved three innovative approaches in the morning, the creative concepts during lunch, and the precise details before sending the report at the end of the day. 	3
17	1	1	0	2	1	1	6	1	0	0	3	0	1	3.0	11	0	0	1	0	0	0	1	 The student will be testing on algebra II problems, geometry, and precalculus next week.	3
14	0	0	0	0	1	2	4	1	0	0	3	0	3	3.0	8	0	0	1	3	0	3	1	The team reviewed the report, made modifications, and printed three copies. 	3
18	4	1	0	0	1	3	5	1	0	0	1	0	2	4.0	5	1	1	1	1	0	1	1	  The baby laughed at the silly clown wielding two giant pogo sticks and a big red balloon.	3
25	1	3	0	0	3	4	6	0	0	0	5	0	3	4.0	11	1	1	1	1	0	1	1	"  ""The student handed in the assignment, covered in purple ink, and signed by both the teacher and the class president."""	3
15	4	1	1	0	1	2	2	0	0	0	3	0	1	4.0	7	0	0	1	0	0	0	1	The big, green, and tired cat purred contentedly on the soft cushion. 	3
44	7	5	6	0	3	4	10	1	1	0	3	0	4	6.0	19	2	2	1	3	0	3	1	With great excitement and trembling hands, he rapidly constructed a tower from intricate wooden blocks and then precariously perched an egg in between three slender, intertwined acacia branches suspended high above the ground, finally successfully completing a difficult and risky trial	3
22	2	2	0	0	0	3	4	2	2	0	3	1	3	5.0	9	2	2	3	1	0	1	3	The cat chased four mice, who hid behind three little trees, until they all tumbled down the big hill.	3
26	1	2	1	1	1	2	7	1	2	0	6	0	2	4.0	12	0	0	2	1	0	1	2	My pleasure, here is the desired sentence, with three postverbal objects: I ate a sandwich with lettuce, tomatoes, and mayonnaise. 	3
20	3	2	1	0	0	2	6	1	0	0	1	1	3	3.0	8	1	1	1	2	0	2	1	The three fluffy kittens chased brightly colored butterflies across the garden while sipping sweet milk from delicate china cups. 	3
14	0	0	2	0	1	0	2	2	2	1	2	0	2	3.0	9	0	0	2	2	0	2	2	Sarah purchased two apples and one orange, then she ate them quickly. 	3
14	3	2	0	0	0	2	3	2	0	0	1	0	1	2.0	8	0	0	1	0	0	0	1	The three happy kittens played with five little toys under the green tree. 	3
13	1	0	0	0	0	1	3	0	1	1	2	1	3	3.0	7	1	1	2	3	0	3	2	 Eddy ate cookies while sipping tea; he enjoyed a delicious afternoon. 	3
2	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0	0	0	0	Okay! Here you go:   Mary kissed three cats goodnight	3
17	0	3	0	0	1	4	4	1	0	0	3	0	1	4.0	5	0	0	1	0	0	0	1	The three cats chased after the ball, under the table, and into the corner. 	3
6	0	0	0	0	0	1	2	0	1	0	1	0	1	2.0	2	0	0	1	1	0	1	1	The cat brushed her tail. 	3
32	1	3	0	1	1	0	5	0	7	1	4	1	7	7.0	11	5	5	3	2	0	2	3	Lena enjoyed playing with her dolls, pretending they were real babies, putting them to sleep in their crib and bottle-feeding them while they sucked on their pacifiers. 	3
