n_tokens	ADJ	ADP	ADV	AUX	CCONJ	DET	NOUN	NUM	PRON	PROPN	PUNCT	SCONJ	VERB	max_depth	max_link	subord_prop	subord_post	subj_pre	obj_post	subord_pre	sentence	subord_post_constraint
21	0	3	0	0	1	4	6	0	1	0	1	1	4	4.0	13	2	2	2	1	0	The man ran towards the forest while yelling for help, and the search party found him huddled in a thicket	1
19	0	2	0	0	0	2	5	0	2	1	1	2	3	5.0	7	2	2	2	2	0	Jessie ran to the store because she needed eggs, for baking a cake for her son's birthday	1
18	2	0	2	2	0	2	3	0	1	0	3	0	2	3.0	10	1	1	2	1	0	The team is eager to win the championship; therefore, they will train harder next season.	1
16	1	2	1	2	1	0	1	0	3	0	2	0	3	3.0	9	1	1	2	1	0	"He had finished his work and was tired, so he sat down to rest. (one subordinate proposition: ""was tired"")"	1
13	1	1	0	0	0	3	2	0	1	0	2	1	2	3.0	7	1	0	2	1	1	As the teacher taught the students, some of them played hooky.	1
25	4	2	0	2	1	2	5	0	1	0	3	0	4	4.0	15	2	2	2	2	0	The company will launch a new campaign next month, and based on previous successes, it is expected to bring in significant profits.	1
24	0	5	0	1	1	2	10	0	2	0	1	0	2	6.0	11	1	1	1	2	0	The company will increase its prices due to inflation and supply chain issues, causing a decrease in demand for its products among businesses	1
21	4	1	1	1	1	1	6	0	2	0	1	0	2	7.0	6	2	2	2	1	0	The new smartphone's camera takes good pictures and records videos that are worth sharing, despite its relatively high price	1
14	1	1	0	1	0	1	3	0	1	1	1	0	2	3.0	4	1	1	1	1	0	John's best friend had borrowed his motorcycle to go on a trip. Although John had warned him not to ride it in the rain, he did so anyway	1
18	4	2	1	0	0	4	3	0	0	0	2	0	2	4.0	14	1	0	1	1	1	Sitting in the dimly lit room, the soft ____________ of the old sofa provided a comforting embrace	1
15	1	1	2	1	1	1	2	0	2	0	1	0	3	3.0	5	1	0	2	1	1	When they arrive, they will notice the unique atmosphere and feel immediately at home	1
24	1	2	2	1	1	3	3	0	3	0	2	1	4	4.0	14	2	2	3	2	0	She walked into the room and noticed that the windows were open, so she closed them quickly to keep the heat in.	1
28	2	4	2	0	1	4	9	0	0	0	2	1	3	5.0	11	2	2	1	2	0	The park ranger walked slowly through the forest, keeping a watchful eye out for bears and wolves while silently acknowledging the sweet scent of blooming wildflowers.	1
33	2	2	4	2	2	4	6	0	0	0	3	1	5	5.0	10	2	2	1	1	0	The new employee quickly got familiar with the company's policies, and was trained on using the software effectively, and was also assigned to work closely with the team leader.	1
32	2	4	0	0	2	3	8	0	4	1	2	0	5	8.0	5	3	3	2	3	0	With a sense of relief, Jane reached for her purse, knowing she had sufficient funds to pay the taxi driver and secure a warm meal for herself and her children	1
18	0	3	0	1	0	3	5	0	0	0	4	0	2	3.0	9	1	1	1	1	0	The sun has set behind the mountains, causing shadows to _________ (fall) across the landscape	1
18	1	1	1	2	1	1	3	0	2	0	2	1	3	2.0	6	1	0	2	1	1	Although I am feeling tired, I will still go to the gym tonight and lift weights.	1
12	2	0	0	1	1	2	2	0	1	0	2	0	1	4.0	8	1	0	2	1	1	The dog, which was small and fluffy, chased the cat	1
12	0	1	1	0	0	1	3	0	2	0	1	1	2	2.0	7	1	1	2	1	0	The cat purred loudly on my lap while I watched TV. --> (Because it was enjoying the warmth.)	1
21	1	2	1	3	0	0	4	0	3	1	2	0	3	6.0	4	2	2	3	1	0	Maria has not yet completed her homework, which consists of several subtraction problems that must be solved by tomorrow.	1
18	0	1	2	0	1	2	3	0	2	1	2	1	3	3.0	12	1	1	3	2	0	Maria quickly walked to the store because she needed milk, and then she bought some groceries. 	1
22	4	2	0	1	0	4	5	0	1	0	1	1	2	4.0	11	2	1	2	2	1	Although he had no prior knowledge of the subject, the student was able to understand the main idea with surprising ease	1
31	0	4	2	0	1	4	7	0	3	1	3	1	4	4.0	18	2	2	4	1	0	Jane's family went to the beach, where they set up a beach umbrella, and there, her children played in the sand while she relaxed under the shade	1
27	1	2	1	3	1	4	5	0	3	0	2	1	4	4.0	16	2	2	4	1	0	The manager was surprised when she saw that all the reports had been completed on time, and she appreciated the hard work of her team.	1
17	0	2	1	1	1	1	1	0	4	0	1	1	4	3.0	6	2	1	3	0	1	When I walk into the party, I notice that everyone is laughing and smiling at me	1
27	2	3	0	0	0	6	8	0	1	0	1	2	3	6.0	10	2	2	1	4	0	The teacher assigned the students the task of writing a report on the company's financial status before submitting it to the executive board for approval.	1
22	2	2	2	1	2	1	6	0	1	0	1	0	3	4.0	12	1	1	2	1	0	Alien visitors were studying human emotions and the earth's atmosphere when their spacecraft suddenly took off and left without warning.	1
22	2	2	0	0	1	3	6	0	4	0	1	0	3	6.0	5	1	1	2	4	0	The team leader assigned me to a new project, which gave me additional responsibilities and increased my role in the company	1
25	1	2	3	0	1	2	5	0	4	0	2	0	4	4.0	8	2	1	2	2	1	When the final bell rings, I immediately put my books back in my locker and head to the cafeteria to meet my friends.	1
19	2	1	0	2	0	2	6	0	0	0	2	1	2	3.0	14	1	1	2	2	0	The company will close down operations next month because (subordinate proposition) the profits are not meeting expectations	1
25	2	4	0	0	1	4	5	0	1	1	1	1	4	6.0	9	2	2	2	2	0	John enjoyed swimming in the ocean because the warm water allowed him to relax and cool off after a long walk on the beach.	1
25	2	3	0	0	2	3	5	0	1	1	2	1	4	5.0	8	3	3	1	2	0	John ran the race with pacing and energy, finishing strong and confident after pushing himself at the end to gain on the competition. ________________________________________________________________________________________________  Can you guess the next instruction correctly? Please let me know in a comment if you do or if you would like another attempt at the answer.	1
32	3	4	2	0	2	2	10	0	1	0	1	1	5	7.0	9	2	2	1	4	0	The company invested millions of dollars into developing new technologies and hired highly skilled professionals in order to maintain its competitive edge in the fiercely contested industries of electronics and software.	1
12	0	1	1	0	0	0	2	0	2	0	2	1	2	3.0	5	1	1	1	1	0	She always ____________________(walk her dog) before going to work. 	1
17	0	3	2	0	1	4	4	0	0	0	1	0	2	4.0	5	0	0	1	0	0	The cat sat on the windowsill and gazed lazily at the flowers in the garden below.	1
17	2	3	0	1	1	1	5	0	0	0	2	0	2	5.0	5	1	1	1	0	0	The company will expand into new markets, resulting in significant increases in sales and revenue.	1
24	1	0	1	0	1	2	6	0	2	0	5	1	4	5.0	7	2	1	2	3	1	The researcher, upon entering the field, observed numerous insects; thus, he began to record their behavior and habitat preferences.	1
21	4	2	0	0	1	3	6	0	0	0	1	0	2	4.0	6	1	1	1	1	0	The city's central park offers a serene lake for boating and a bustling playground for children to run wild.	1
19	2	2	0	1	0	2	5	0	1	1	1	1	2	4.0	5	1	1	2	1	0	Abraham's extensive research led him to the conclusion that the planet is inhabited by alien life forms. Moreover, these life forms appear to be peaceful and have a deep understanding of advanced physics	2
19	1	1	1	1	0	1	3	0	4	1	3	0	3	6.0	4	2	2	3	2	0	Alice baked a cake, which was devoured by her colleagues, who highly praised her culinary skills.	2
25	2	3	0	1	1	3	6	0	2	2	3	0	2	5.0	11	1	1	2	2	0	The company will launch the new product on March 20th, after a successful trial in February, which demonstrated its quality and effectiveness.	2
43	5	2	5	3	3	5	10	0	0	1	5	0	3	4.0	29	4	3	5	3	1	The best time to visit Japan is during spring when cherry blossoms bloom and festivals take place; however, the weather is quite cold and rainy during this season; yet, the scenery is still impressive and worth the trip.	2
24	1	2	0	0	1	3	4	2	2	0	6	0	3	5.0	9	1	1	3	1	0	The team scored a goal, which (1) led to a thrilling conclusion and (2) resulted in their victory.	2
26	4	2	0	2	3	1	4	0	2	2	3	0	3	4.0	15	1	1	1	1	0	I have visited many beautiful cities around the world, including Tokyo and Paris, and was amazed by their vibrant cultures and rich histories.	2
24	2	2	1	0	1	5	6	0	1	0	1	1	4	5.0	8	2	2	2	2	0	I saw a bird fly overhead and admire the beauty of the sunset while sipping a cold drink on the beach last night. 	2
20	2	1	0	2	1	2	5	0	1	0	1	1	3	5.0	6	2	2	2	1	0	The train station was easy to find because it was _ located near the city center_ and had _clear signage_	2
17	0	1	0	1	1	0	2	0	2	2	2	0	6	5.0	6	4	4	2	2	0	Brian will finish writing his paper by Tuesday, provided he stays focused and avoids procrastination. In addition, he will submit it to the professor and turn in a copy to the department.	2
25	3	3	1	0	0	3	9	1	1	0	1	0	2	4.0	10	1	1	2	2	0	The research team's investigation of the forest revealed a previously unknown species of insect with two subordinate propositions that demonstrated unique behavior patterns. 	2
28	1	2	2	1	1	2	6	2	1	1	4	0	3	5.0	10	1	1	2	2	0	Sure, here is a sentence with two subordinate propositions:  Jon plays football, and he also runs 5 kilometers every day to stay in shape.	2
22	1	3	0	0	2	5	5	0	0	1	1	0	4	6.0	7	2	2	1	1	0	John walked in the park and saw a beautiful bird flying in the sky and a squirrel playing on the ground.	2
28	0	2	2	1	1	2	5	0	3	1	2	0	6	7.0	22	4	4	4	3	0	Susan went to the supermarket to buy groceries, where she encountered a friend she had not seen in months, and they decided to grab coffee together	2
10	0	0	0	1	1	0	0	0	0	2	3	0	3	2.0	5	0	0	1	1	0	Mario can run, jump, and defeat Goomba. Mario will always save the princess, no matter how hard Goomba tries	2
31	3	5	0	0	1	4	9	0	3	0	3	0	3	5.0	12	1	0	1	2	1	The chef, delighted with the successful completion of the dinner party, thanked the catering staff for their tireless efforts and gifted them with medals for their outstanding teamwork. 	2
11	0	1	0	2	0	1	1	0	3	0	0	1	2	2.0	5	2	2	2	1	0	She will be at the party if he lets her go	2
24	3	1	2	0	1	1	6	0	2	0	2	1	4	6.0	7	2	2	3	2	0	The company's productivity increased significantly after they implemented new technology, which allowed for more efficient data analysis and reduced unnecessary meetings.	2
24	3	2	2	0	0	1	9	0	0	0	0	2	4	4.0	7	2	2	1	2	0	The company's sales team effectively targeted new clients by calling on key decision makers while simultaneously providing excellent customer service to existing clients	2
16	0	1	2	0	1	3	4	0	0	0	1	1	3	4.0	5	1	1	1	1	0	The cat sat on the mat and purred contentedly while simultaneously chasing a toy mouse.	2
30	1	2	0	2	1	6	7	0	2	0	2	0	5	5.0	15	3	3	2	4	0	The manager ordered the accounts to be reconciled before the end of the month, which would enable the company to secure the loan and meet its financial obligations.	2
17	1	0	0	0	1	2	3	0	2	1	1	1	4	4.0	12	2	2	2	3	0	John wanted to buy a new car but after considering the price he changed his mind. He was tired of getting his car repaired every month and decided to buy a new one instead	2
22	3	2	1	1	1	1	5	0	0	0	1	2	4	4.0	7	2	1	1	2	1	The best way to get in shape is by working out regularly and making healthy food choices while avoiding fast food. Because of this consistent routine, John has lost a remarkable 50 pounds in the past year. Not only does he now have more energy, but his improved cardiovascular health has greatly reduced his risk of developing chronic diseases.	2
26	2	3	0	0	1	4	6	0	2	0	1	1	5	6.0	15	3	3	1	3	0	The teacher encouraged the student with the gift of singing to continue practicing the new song and rewarded him with extra cookies for his dedication.	2
12	2	0	0	0	1	1	1	0	1	0	1	0	4	3.0	4	2	1	1	2	1	Eating the delicious cake helped me to relax and feel energized. As I ate, I thought about all the stress I had been experiencing and how wonderful it felt to release it. 	2
30	3	3	2	0	2	2	5	0	3	0	3	1	5	6.0	5	2	2	1	1	0	Under the hot tropical sun, I quickly finished my snorkeling tour and returned to the shore, eager to rest and relax before heading back to my hotel.	2
25	1	1	1	1	1	1	6	0	1	0	8	1	2	3.0	16	1	1	1	1	0	The team was well-equipped to ______________________________________ (complete task) and ______________________________________ (face challenges) in order to accomplish their goal.	2
38	3	2	0	0	2	5	13	0	3	0	3	0	5	9.0	15	3	3	3	4	0	The hotel manager promised to honor the special rates for the conference organizers, which included a complimentary breakfast buffet and VIP status at the hotel bar, and to deliver exceptional service that exceeded their expectations.	2
31	5	4	1	2	1	3	10	0	0	1	2	0	2	5.0	9	1	1	2	1	0	The best beach vacation destination for families is the tropical island of Bali, where children can enjoy swimming in the crystal-clear waters and participate in fun water sports	2
27	0	1	0	1	0	4	6	2	1	0	8	1	2	3.0	14	1	1	2	2	0	The manager _____ (1) accepted the employee's resignation, _____ (2) before the employee had completed their work for the day.	2
20	3	3	1	2	1	3	5	0	0	0	1	0	1	4.0	7	0	0	1	0	0	Under the new marketing campaign, the product will be more visible and appeal to a wider range of customers	2
10	1	0	0	0	0	2	2	0	1	1	1	0	2	3.0	5	0	0	2	2	0	Amy read the book _______________ she discovered a hidden message	2
23	2	0	0	1	2	2	5	0	0	0	2	0	6	6.0	9	3	3	2	3	0	The manager decided to reduce costs, and the employees were instructed to use less paper and to avoid making unnecessary purchases.	2
16	0	1	3	0	1	2	3	0	2	0	0	1	3	3.0	11	1	1	2	1	0	The cat slept soundly as it purringly purred in the sun and hungrily ate its breakfast	2
31	2	3	0	4	1	5	9	2	0	1	1	1	2	3.0	27	1	1	3	1	0	Sarah will meet the new employee at the conference room at 10:00 a.m. because the meeting has been scheduled for 10:00 a.m. and the conference room is the correct location.	2
12	2	0	1	1	0	2	2	0	0	0	2	1	1	3.0	4	1	0	2	0	1	Although the cake is delicious, the icing tastes even better. Moreover, it is surprisingly moist given its advanced age.	2
29	2	1	1	0	1	4	11	0	1	0	2	1	4	6.0	6	2	2	2	4	0	The company’s CEO gave the keynote speech while representing the corporation at the industry conference, where he discussed new product features and highlighted latest sales figures. 	2
25	2	1	0	0	1	4	7	0	1	0	2	1	5	5.0	7	3	2	2	3	1	Based on my analysis, the manager identified a potential risk and determined that the company needed additional security measures to prevent a breach. Therefore, she implemented additional firewalls and encryption software to protect sensitive data. Moreover, she also trained the employees on best practices to avoid accidental leaks of confidential information.	2
19	2	2	1	0	2	3	6	0	1	0	1	0	1	3.0	13	0	0	2	1	0	The dog quickly chased the cat around the tree with enthusiasm and agility, its barking loud and intimidating	2
21	2	2	1	1	2	2	3	0	2	0	1	1	4	5.0	7	2	1	2	1	1	A man who was wearing yellow and orange walked slowly down the street and smiling while looking at his phone. 	2
17	4	0	1	1	1	2	4	0	0	0	2	0	2	4.0	6	0	0	1	2	0	Main Clause: The new smartphone has a powerful CPU and can perform complex operations quickly. Subordinate Propositions: Which can efficiently handle multiple simultaneous tasks and supports advanced applications for seamless multitasking.	2
28	1	4	0	4	1	3	7	0	4	0	0	0	4	7.0	7	2	2	3	3	0	The teacher will assign homework to students who have completed all of their work and will give extra credit to those who have volunteered at the community event	2
24	4	3	1	2	0	4	6	0	1	0	1	0	2	5.0	16	1	0	2	1	1	With the exception of the new employee who has already demonstrated exceptional performance, the entire staff was underwhelmed by the new management software	2
28	5	3	1	1	1	3	6	0	1	0	3	0	3	4.0	19	1	1	3	1	0	The city is full of historic buildings; the old cathedral stands tall and proud; tourists from all over the world come to admire its grandeur.	2
15	2	0	1	2	0	2	3	0	0	0	2	0	2	4.0	7	1	1	1	1	0	Main clause: The new employee has been training to perform the job efficiently. Subordinate propositions: Will learn quickly and effectively, and Will meet all expectations set forth by the company.	2
30	2	3	1	0	2	2	8	0	3	0	1	1	5	9.0	8	3	3	2	4	0	The politician spoke passionately about his vision to create jobs and reduce inequality in the country while his opponents criticized his policy to cut taxes as unfair and unsustainable. 	2
30	4	4	3	0	0	3	7	0	0	0	2	3	4	5.0	11	3	3	2	1	0	The big brown bear walked slowly through the forest, while simultaneously preparing for winter by storing nuts in a hidden cave, as small children nearby watched in amazement	2
27	1	0	1	6	1	4	5	0	1	0	1	3	4	6.0	7	3	3	4	1	0	The manager informed the employee that their work was satisfactory even though the quality was lacking but would be accepted because the deadline had been met.	2
8	0	0	2	0	0	1	1	0	0	1	1	0	2	4.0	2	1	1	1	1	0	John saw a tiger running rapidly away. He (thought / felt / knew) it was going to attack him. (It / He / They) had been stalking through the forest for hours.	2
13	1	1	1	1	1	2	2	0	0	1	1	0	2	3.0	5	0	0	1	1	0	John successfully climbed the mountain and was rewarded with an incredible view. He also learned a valuable lesson about perseverance. Moreover, the experience deepened his appreciation for nature's beauty.	2
20	0	2	3	0	1	2	5	0	2	0	2	0	3	3.0	8	1	0	3	0	1	When the cat purred, its fur shone brightly in the sunlight and its tail twitched nervously with excitement.	2
28	1	2	4	1	1	4	4	0	2	1	2	1	5	6.0	8	3	3	2	3	0	Jimmy carefully filled the box with the fragile objects, ensuring they were securely tucked inside before sealing the top and carrying it upstairs to the attic. 	4
31	0	4	4	0	1	0	1	0	7	2	4	1	7	5.0	21	3	3	4	1	0	John loves Mary because she laughs at his jokes, looks at him expectantly when he talks, listens attentively to what he says, and smiles brightly at him.	4
35	5	3	0	0	2	4	10	0	1	0	4	0	6	6.0	18	1	1	1	3	0	The company has a profitable new business line, resulting in increased investor optimism, and expanding its customer base, leading to higher sales, and improving the overall financial performance of the organization	4
49	6	5	3	0	2	10	12	0	0	0	4	1	6	4.0	36	1	1	5	2	0	The large and majestic mountain stretches far into the horizon while a small bird perches atop a lush tree; the rising sun illuminates the scenery from above; the river flows leisurely beneath the mountain; and the gentle breeze carries the sweet scent of blooming flowers.	4
37	3	2	1	3	1	6	7	0	3	0	4	1	6	6.0	34	4	4	6	2	0	I enjoy hiking through the mountains because the fresh air rejuvenates me, the scenery is breathtaking, the trail is challenging, and the sense of accomplishment I feel when reaching the summit is invigorating.	4
25	1	2	1	0	0	3	7	0	2	0	4	1	4	5.0	8	3	3	2	3	0	The sun rises slowly in the sky, as birds sing their morning songs, casting shadows behind them, illuminating the new day.	4
29	2	4	2	1	1	4	5	0	0	1	3	0	5	4.0	19	1	1	1	0	0	The big red ball was seen bouncing down the hill, rolled quickly down the road, bounced up onto the porch, and landed at Emily's feet	4
34	6	3	1	0	0	3	10	0	5	0	4	0	2	6.0	8	1	1	4	1	0	The cat purred contentedly on my lap, its soft fur a soothing balm, its cute little face a source of endless amusement, its playful antics bringing joy to my heart.	4
32	1	2	0	0	2	2	5	0	3	1	4	2	7	6.0	16	5	5	3	2	0	Teresa loves to dance, as she finds solace and happiness in the movement, and she hopes to excel in the craft, while continuing to explore its rhythmic intricacies.	4
29	5	1	0	1	1	1	9	1	2	0	5	1	2	7.0	10	1	1	1	2	0	I have identified four key factors in determining the success of our product launch: thorough market research, strong branding, strategic pricing, and effective marketing.	4
22	1	4	0	0	1	3	7	0	1	0	4	0	1	4.0	9	0	0	1	1	0	The city employee repaired the road, despite heavy traffic, with speed, and under the supervision of his boss.	4
12	1	0	1	0	0	2	3	0	0	0	3	0	1	2.0	5	0	0	1	1	0	The company, _____________, recently introduced a new product line. ______________ product line includes innovative features and improved functionality. ______________ is aimed at customers who require advanced technology and reliability. ______________ will be available in key markets globally in the coming months	4
20	1	1	0	1	1	3	7	0	1	0	1	1	3	5.0	6	2	2	2	1	0	The manager announced that the sales team had exceeded their targets, leading to a celebratory dinner and bonus payouts	4
12	0	1	1	1	0	1	3	1	3	0	0	0	1	4.0	10	1	0	2	0	1	The book that she read three times is currently under her pillow	4
30	1	5	1	0	2	2	6	0	3	4	2	1	3	4.0	9	2	1	2	1	1	With their faces buried in their books, Sara and Carlos studied for their exams quietly while Sophia and Tom played a competitive game of chess in the corner. 	4
