n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	ADV_constraint
8	1	0	3	0	0	1	0	1	0	1	0	1	0	0	1	0	0	2.0	0	3	"  The requested adverb is ""rapidly"". This adverb is appropriately used in the word ""rapidly"" to describe a rapidly-spreading rumor"	1
5	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	2.0	0	3	Satisfied with the results? This pleased group may have dissolved since then.	1
10	1	0	2	1	0	2	0	1	0	0	1	1	0	0	0	0	0	3.0	0	3	Okay, here is the sentence with one adverb:  There loudly rang out an ancient echo of silence.	1
20	3	0	1	1	1	4	2	0	0	2	0	1	4	1	1	2	1	4.0	2	7	Always eagerly anticipating such encounters, I am usually ready to defend my favorite show from unwarranted criticism or teasing	1
10	2	0	1	0	0	1	0	1	0	1	0	2	1	0	1	0	0	2.0	0	8	Happily, that silly dreamer had not been spotted since	1
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Brightly	1
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Histrionically	1
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Happily	1
4	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1.0	0	1	Ever wondered why?	1
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	 brightly	1
9	1	0	0	1	0	1	0	1	0	1	0	2	1	0	1	0	0	2.0	0	4	The happy band has not be heard from since	1
10	0	0	2	1	0	1	2	0	0	2	0	1	0	1	1	1	0	3.0	1	4	Okay, I’ll have it done with haste.	1
12	2	0	1	1	0	2	0	1	0	1	0	2	1	0	1	0	0	3.0	0	6	The happy band's silence since then has been eerily deafening.	1
22	1	0	2	4	0	4	4	2	0	2	0	1	1	1	1	1	1	4.0	2	10	Gleefully giggling at their antics in the meeting, I was unable to stop them despite my promises to the boss. 	1
17	3	0	1	1	1	3	1	2	0	2	0	1	2	0	2	1	1	5.0	1	16	Hilariously, the only person who still had pride and believed in giants was the most shameful	1
28	2	0	4	2	2	4	0	3	0	2	0	1	7	1	1	1	0	6.0	1	12	Alas, that elusive melody, so evanescent and fleeting, has departed the musical landscape, leaving behind only a haunting trail of sweet yet sorrowful echoes	1
14	4	0	2	1	0	1	0	1	0	1	0	2	1	0	1	0	0	2.0	0	9	Most brilliantly then, this happy band has not been heard from since.	1
13	3	0	3	0	0	1	0	1	0	1	0	2	2	0	1	0	0	2.0	0	11	Happily, that absurd, illogical decision has never once been enforced.	1
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Hastily	1
13	3	0	3	0	0	1	0	1	0	1	0	2	1	0	1	0	0	2.0	0	10	Hoppily, however, the happy band had not been found since.	1
3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1.0	0	1	Wistfully whispered.	1
2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Mysteriously.	1
13	3	0	1	0	1	2	0	2	0	0	0	2	2	0	2	0	0	3.0	0	6	Fortunately, the concert was enjoyably tolerable and the singer was impressively audible	1
25	6	0	3	1	1	6	1	1	0	4	0	0	1	3	2	2	0	4.0	3	15	Only too willingly does the unicorn take flight among gilded clouds and sparkles, there to dance gracefully, her beauty radiating joy everywhere. 	1
2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	Fiercely.	1
20	2	0	4	2	0	5	1	3	0	2	0	0	1	0	0	2	0	4.0	0	9	Rarely does a celebrity, especially of his stature, take on such a silly, time-wasting challenge	1
12	3	0	2	0	0	2	0	1	0	2	1	1	0	0	1	0	1	3.0	1	6	Gleefully squealing, that band was last heard three years ago. 	1
7	1	0	1	1	0	1	0	1	0	2	0	0	0	0	0	0	0	2.0	0	4	Happily striding over the sparkling meadow.	1
15	2	0	2	1	0	3	1	2	0	1	0	0	3	0	1	1	0	2.0	0	7	Effortlessly, the cunning musician skillfully played the enchanting melody on her magical harp.	1
11	4	0	2	0	2	1	0	1	0	1	0	0	0	0	1	0	0	3.0	0	6	Briefly and intensely, the instructor lectured profusely and passionately.	2
13	0	0	1	0	1	3	0	1	0	2	0	0	4	1	1	2	0	4.0	1	4	The intricate path required cautious and steady steps to avoid muddy puddles.	2
12	3	0	0	0	2	1	0	1	0	1	0	2	2	0	0	0	0	2.0	0	6	Tremendously clearly might be a bit tricky but exciting and empowering too	2
20	3	1	0	1	0	2	1	1	0	5	0	2	1	3	2	1	2	5.0	5	8	Carefully deciding which path to take can be quite challenging while trying to figure out where to focus your energy	2
23	4	0	2	0	2	3	0	2	0	3	0	3	4	1	2	3	1	4.0	2	9	Completing the task, efficiently and effectively might be challenging; however choosing meaningful pathways might make the process more fulfilling and worthwhile	2
11	2	0	0	0	1	2	0	0	0	4	0	1	1	0	1	2	1	3.0	1	4	Reliably reaping rewards will remain rewarding and reasonably requires repeated responsibility	2
18	1	0	1	2	2	4	0	2	0	3	0	0	3	0	1	0	1	5.0	1	13	Walking rapidly along the rocky shoreline in the biting wind and icy drizzle proved challenging but invigorating.	2
25	2	0	1	2	1	4	1	4	0	5	0	2	2	3	3	2	0	7.0	3	7	The mostly likely challenge turns out to be choosing which way represents the utmost significance to you and deciding where the concentration should go.	2
16	5	0	2	0	0	3	0	2	0	2	0	0	1	0	1	1	1	3.0	1	9	Brightly burning twice as hard, the radiant sun rapidly raised the day's temperature.	2
19	2	1	1	0	2	6	1	1	0	3	0	0	2	2	1	3	0	6.0	2	8	Globally warming increases the likeliness and possibility of experiencing severe and unpleasant weather conditions, possibly amplifying their severity	2
5	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	2	Most intently and intensely.	2
6	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	3	  Rather quietly, extremely confidently.	2
17	2	0	1	1	0	3	0	2	0	4	0	1	1	2	1	2	0	5.0	2	6	The tricky part is choosing how to begin, then deciding which way to proceed with precision	2
29	4	2	2	0	0	4	0	4	0	8	0	2	1	6	2	3	1	5.0	7	9	Sometimes carefully choosing each movement might prove more challenging than attempting every path, for determining which path to take might mean choosing wisely which focus to prioritize.	2
12	1	0	0	1	0	3	0	2	0	2	0	0	3	0	1	2	1	3.0	1	4	Carefully determining the right course necessitates a balanced consideration of multiple factors	2
12	2	0	1	0	1	2	0	2	0	1	0	2	1	0	1	1	1	3.0	1	10	Quickly and thoughtfully exploring all options might be the best approach. 	2
5	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2.0	0	3	Completely mesmerizing and intricately detailed	2
18	2	1	2	0	1	3	3	2	0	2	0	0	2	1	2	3	0	5.0	1	6	"Reliably, quickly we finished the project because our supervisor gave us a small but challenging project. Please indicate whether this response is incorrect and provide feedback. If this is the correct response, please press the ""Correct"" button. Otherwise, please press the ""Incorrect"" button"	2
20	1	1	1	2	0	3	1	3	0	4	0	1	2	3	2	1	0	5.0	3	5	The hardest choice is choosing what path matters most to you while figuring out how to prioritize that focus.	2
25	3	0	2	2	1	4	0	4	0	3	0	2	3	1	1	1	0	5.0	1	7	The most arduously demanding aspect may be selecting the appropriate route forward, and deliberating on the optimal emphasis to allocate to each endeavor.	2
3	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1.0	0	2	Both quickly creatively	2
19	0	0	2	2	2	3	1	1	0	2	0	2	4	0	1	1	1	3.0	1	9	Giving your undivided attention might be challenging, yet fascinating, because of the intriguing lesson and stimulating discussions	2
9	0	0	0	0	0	3	0	1	0	2	0	1	2	0	0	1	1	2.0	1	3	Following the winding path might reveal remarkable hidden sights	2
16	4	0	1	1	1	3	1	1	0	3	0	0	1	1	1	1	0	4.0	1	5	The seemingly impossible task requires significantly focusing and meticulously mapping your steps forward with diligence.	2
19	1	1	1	1	1	4	1	2	0	3	0	2	2	0	3	1	3	4.0	3	10	Although both options are intricate, choosing which way matters most to you may require careful thought and consideration	2
13	1	0	1	1	0	2	1	0	0	2	0	2	3	1	1	1	0	3.0	1	6	Certainly challenging paths require considerable mental focus might be choosing among them. 	2
22	4	0	2	0	0	4	2	2	0	4	0	2	1	2	2	3	0	6.0	2	6	Globally-successfully, you can use this method to identify the most challenging sections that may require more focused practice time	2
13	2	0	1	0	0	3	2	1	0	4	0	0	0	2	2	2	1	4.0	3	4	Carefully choosing your focus means deciding which path best fits your goals.	2
12	2	0	1	0	3	2	1	1	0	1	0	0	1	0	1	1	0	3.0	0	5	Both thoroughly and meticulously, she researched every possible angle and consideration	2
18	2	0	1	2	2	4	1	0	1	3	0	0	2	0	1	1	1	4.0	1	12	Sprinting swiftly and silently through tall trees and tangled underbrush, Sylvia found solace from her frustrating day	2
5	2	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2.0	0	3	Rapidly accelerating and incredibly challenging	2
9	2	0	0	0	1	0	1	0	0	3	0	1	0	1	0	1	0	3.0	1	3	Momentously meaningfully might entice you to pause and wonder	2
20	2	0	1	0	1	3	0	3	0	5	0	1	2	2	1	2	0	4.0	2	8	The most intricately crafted pathway might present the utmost obstacles to traverse, and demanding the greatest focus to conquer	2
8	4	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2.0	0	4	Tremendously intricately challenging and unbelievably captivatingly engaging.	2
5	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	2	Actually quickly and quietly. 	2
28	3	0	2	2	1	5	1	5	0	5	0	1	2	2	2	2	0	5.0	2	7	The most tediously frustrating element of this task is determining which path to prioritize, and concentrating on a sole response that perfectly captures the desired intent.	2
16	3	0	2	0	0	2	1	1	0	3	0	1	2	1	1	1	0	4.0	1	5	The moment may prove challenging yet enlightening; choose carefully where to channel your energy.	2
15	2	0	1	1	2	2	0	1	0	2	0	0	4	0	1	0	1	5.0	1	8	Gulping down the delicious and decadent champagne cocktail felt absolutely exquisite and incredibly indulgent.	2
12	1	0	0	1	0	2	0	0	0	1	4	2	1	0	1	0	0	3.0	0	5	Approximately 17 billion gallons have been poured onto 4.5 million square miles	2
19	2	0	1	1	1	2	1	2	0	3	1	1	2	1	1	2	0	4.0	1	9	Easily, you might have to concentrate more on one particular task and where to apply all that focus	2
5	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3.0	0	3	Intricately and intensely engaging. 	2
11	2	0	2	0	1	2	0	2	0	1	0	0	1	0	1	1	0	3.0	0	6	   Melodiously and meaningfully, the choir delivered a powerful performance.	2
2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	None.	2
25	5	2	1	1	1	5	0	4	0	5	0	0	1	2	1	4	1	6.0	3	5	Effortlessly maneuvering the maze became even more captivating after mastering a balance between carefully weighing every move and fearlessly facing challenges along the way. 	2
16	2	0	2	1	1	2	2	0	0	3	0	1	0	1	1	1	1	4.0	2	6	Actually speaking, we are not going to give up our weekends and holidays easily. 	2
13	2	0	1	0	0	2	0	1	0	4	0	0	3	1	1	2	2	4.0	3	5	Carefully contemplating choosing the right track proves problematic when considering many factors.	2
10	0	0	1	0	1	3	0	0	0	1	0	1	3	0	1	1	0	3.0	0	3	Complex decisions might require thoughtful contemplation and deliberate reasoning.	2
22	1	0	1	0	1	4	1	5	0	2	0	3	4	1	3	1	1	5.0	2	13	The route that necessitates the most effort and the biggest mental challenge might be deciding which route is the most fulfilling.	2
6	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	3	Rather quickly, quite carefully.	2
13	2	1	2	0	0	2	1	2	0	2	1	0	0	1	1	2	0	3.0	1	5	Effortlessly, she effortlessly completed all three levels without breaking a sweat. 	2
21	2	0	3	3	1	6	0	2	0	4	0	0	0	0	1	0	1	4.0	1	15	Rushed frantically through the moss-draped forest without pause or respite, the fawn leaped recklessly over fallen logs. 	4
26	2	0	2	0	1	5	2	2	1	4	0	1	3	4	2	3	0	7.0	4	6	Slowly but surely, Ginger managed to convince the hesitant ginger cats to take the bitter medicine that was necessary to cure their flea infestation. 	4
20	2	0	3	1	0	5	1	1	0	3	0	0	3	2	1	2	0	4.0	2	6	Quaintly, the elderly individual vociferously vocalized vengeful vitriol, causing visible vapor to arise from his vermillion visage.	4
16	2	1	2	0	0	3	3	1	0	2	0	0	2	1	2	2	0	3.0	1	7	Happily, he hummed a happy tune as he hastily hid his huge hippopotamus hide.	4
11	2	0	1	0	0	2	0	1	1	3	0	0	0	2	1	1	0	4.0	2	4	Naturally, Sheila neatly neglected to include any notations regarding payment	4
16	4	0	5	1	1	2	1	1	0	1	0	0	0	0	1	0	0	3.0	0	10	Quickly, silently, carefully, and deliberately, she tiptoed towards the sleeping cat. 	4
8	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	6	Quickly, efficiently, silently, deliberately.	4
8	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	4	Quickly, suddenly, silently, cautiously.	4
18	1	0	2	1	0	4	1	3	0	3	1	1	0	2	1	2	0	5.0	2	5	Okay, below is a generated response that completes each instruction requesting a sentence with 4 adverbs. I will respond with sentences that meet the task requirements:  Of course, you could just go in by main force	4
62	8	1	6	9	3	11	4	5	0	7	1	1	6	3	2	2	0	9.0	3	53	"Within moments, my dad appeared through the front doorway, majestically bounding downstairs four steps at a time vigorously and very nearly leaping over the last step with his usual graceful flair before stopping abruptly, breathlessly facing the gathering of us kids and inquiring in an exaggerated and boisterous tone, ""What in tarnation is going on here? What's all the commotion about?""  Is this what you had in mind? Let me know if you need me to add anything or change it in any way"	4
13	4	0	4	1	0	1	1	1	0	1	0	0	0	0	1	0	0	2.0	0	8	Quickly, quietly, cautiously, calmly he tiptoed into the room.	4
33	9	0	2	2	0	6	2	0	0	7	0	0	5	3	1	3	0	8.0	3	11	   His loudly boasted confidence quickly waned visibly amidst sternly critical glances coldly delivered harsh put-downs vociferously denouncing his questionable claims unconvincingly presented lackluster efforts shamefully falling far short of expectations. 	4
14	5	0	1	1	0	3	0	0	0	2	0	0	2	0	1	1	1	4.0	1	5	Rather rapidly repeatedly running rigidly ruthless rascals reclined recklessly on rickety rusty rails.	4
16	3	0	1	2	0	2	0	2	0	2	1	0	3	0	1	0	1	3.0	1	10	Hurtleing into the unknown, the four intrepid adventurers courageously forged ahead with only minimal preparations	4
26	1	1	3	2	1	4	2	3	0	3	0	2	2	2	1	2	0	5.0	2	11	Please provide the input sentence to me, and i will be happy to provide an appropriate response, as described in the task above.	4
13	6	0	1	1	0	1	1	1	0	2	0	0	0	0	1	0	0	3.0	0	8	Quickly he quietly walked cautiously away carefully toward the brightly shining sun. 	4
16	4	2	1	0	0	2	2	1	0	2	0	1	1	2	2	1	0	3.0	2	7	The team rapidly furtively quietly efficiently invaded our privacy, as they are prone to doing	4
14	4	0	3	1	1	1	1	1	0	1	0	0	0	0	1	0	0	3.0	0	8	Sulkily, shyly, slyly and loudly they marched in to the sunset. 	4
8	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	4	  - swiftly  - carefully  - quietly  - brightly  Now, use these adverbs to form a sentence. Remember to include all 4 adverbs in the sentence.	4
22	6	0	6	1	1	1	1	0	1	2	0	1	1	1	2	0	0	4.0	1	12	Okay, here you go: Cautiously, slowly, quietly, and secretly Beardies can go in by main force.	4
13	5	0	3	0	1	1	1	1	0	1	0	0	0	0	1	1	0	3.0	0	10	Rapidly, carefully but firmly, frequently, loudly he pounded the podium	4
17	2	1	1	2	0	3	1	1	0	4	0	0	1	1	1	1	2	3.0	3	7	Staying there for hours without moving also caused my muscles to stiffen to an intense extent. 	4
64	13	0	11	4	1	14	1	7	0	6	0	0	6	1	5	1	0	5.0	1	38	Ever so gently, the gigantic squid gracefully swam across the placid ocean waters; quietly, its slender tentacles rhythmically swayed back and forth; beautifully, tiny sea stars clung to the squid's suction cups; suddenly, a schools of shimmering fish darted past, mesmerizing the curious creature; majestically, the squid slowly glided into the abyss.	4
8	1	0	1	0	0	2	0	0	1	1	0	0	1	0	1	1	0	3.0	0	5	Quintuplets quaff quail's quiet quarters quietly.	4
25	5	1	3	2	0	4	1	3	0	5	0	0	0	3	1	0	0	5.0	3	7	With trembling knees, the cat carefully crept cautiously around the corner, calmly meowing softly to check if there were any mice nearby.	4
11	4	1	1	0	0	1	1	1	0	2	0	0	0	1	1	1	0	3.0	1	4	Wobblingly, she walked backwards awkwardly while holding the cup carefully	4
20	4	0	2	0	3	3	1	2	1	2	0	1	0	0	1	1	0	4.0	0	10	Wisely yet unwaveryously, the Beardies will often just not touch anything but the squirming, crawling or flying food	4
11	4	0	4	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1.0	0	8	Furtively, stealthily, slyly, cravenly he approached her.	4
19	3	1	3	1	0	2	3	1	0	3	0	0	2	2	2	2	0	3.0	2	10	  Fastidiously, I furtively followed the flighty, feathered creature for fortnight before I found him foraging forgetfully. 	4
28	5	1	2	2	0	6	3	4	0	4	0	0	0	3	3	2	0	5.0	3	9	Absurdly loudly quickly suddenly the teacher burst into the classroom, her presence obstructing the view of the students as they furiously scrambled to organize their papers.	4
22	3	0	3	2	0	4	0	4	1	3	0	1	1	0	1	1	0	4.0	0	7	  Without a doubt, the Bearded Dragon will likely consume the processed food more willingly than the freeze-dried crickets.	4
2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1	Supremely swiftly	4
