n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	AUX_constraint
29	2	1	2	1	2	4	7	3	0	5	0	2	0	2	4	4	0	5.0	2	20	She promised him that she would never leave him and walk away, but the way he held his tongue would betray her any day of the week.	4
22	1	0	6	0	2	4	1	1	0	2	0	3	1	0	2	1	0	3.0	0	9	"The hotel rooms ""will"" be spotless and modernly designed, but they won't include ""flash"" amenities."	4
23	0	0	6	1	1	3	0	2	0	2	0	5	2	1	1	1	0	3.0	1	15	"The books will be returned to the library ""won't"" be overdue, but ""will"" have due fines."	4
12	0	0	1	1	0	2	1	1	0	2	0	3	0	1	2	0	0	3.0	1	5	The birds will nest in trees that won't be chopped.	4
23	2	0	6	3	1	4	1	1	0	1	0	2	2	0	1	0	0	4.0	0	13	"They ""must"" drive carefully and be respectful of others on the road, especially during ""bad"" weather conditions."	4
15	0	0	4	0	1	1	1	1	0	1	0	4	1	0	2	0	0	2.0	0	7	"The pearls ""will"" be admired, but they won't be affordable."	4
28	2	1	8	1	1	2	2	1	0	3	0	4	2	2	3	0	0	5.0	2	8	"The baby ""won't"" be spoilt, because its parents ""will"" make sure it is ""always"" loved and properly cared for."	4
20	1	0	4	1	1	5	2	0	1	2	0	2	0	0	2	2	0	4.0	0	12	Alice will study mathematics, science, and languages, however she won't pursue her passion for painting.	4
23	1	0	6	0	1	2	2	2	0	2	0	4	1	1	2	2	0	2.0	1	16	"The dogs ""will"" chase the rabbits but they won't catch them, ""won't"" even be close."	4
33	2	0	6	3	1	4	1	4	0	4	0	6	1	2	2	0	0	5.0	2	23	"The elephant will quickly forget about the mouse it saw ""may"" be hiding behind a hedge, but certainly won't ""may"" be flying over a distant mountain."	4
16	0	0	4	0	2	1	1	1	0	5	0	1	0	1	2	0	0	2.0	1	11	The cat purred, snoozed, and cuddled, but it wouldn't play fetch.	4
23	1	0	6	1	1	4	2	3	0	2	0	2	0	0	2	2	0	3.0	0	11	"The children ""will"" perform their recital beautifully, but they ""won't"" forget the words to the song."	4
33	1	1	9	2	1	5	2	2	1	3	0	3	2	1	2	2	0	5.0	1	12	"Alien invaders ""might"" attack Earth at any moment, as we ""could not"" predict their intentions or ""would never"" prepare for the worst-case scenario."	4
23	2	0	3	1	0	4	1	3	0	2	0	5	1	2	2	0	0	3.0	2	14	The hotel will be fully booked; there won't any room left, however the bar will be available for drinks.	4
36	2	1	6	3	0	6	2	5	0	2	0	4	4	1	3	1	1	5.0	2	15	"The new employee, who has extensive knowledge in the field, will likely be a valuable asset to the company, although he might not be ""ideally"" suited for the available position."	4
16	0	0	1	1	1	2	1	2	0	2	0	5	0	0	2	0	0	2.0	0	10	The dog will have been chased by the cat, but it won't have escaped	4
16	0	0	1	0	1	3	2	3	0	2	0	2	0	0	2	2	0	3.0	0	7	The dog will chase the cat but it won't catch it, not this time	4
32	5	0	8	2	2	3	3	3	0	4	0	1	0	0	3	2	0	4.0	0	12	"She would not normally drink ""too"" much, but after the party, she felt ""over"" the limit, so she called a cab and went home."	4
33	0	0	6	3	1	6	1	6	0	3	0	6	0	1	2	1	0	5.0	1	24	"The company will have sent all the contracts ""will"" be approved by the end of the week, and the employees ""won't"" be worried about their benefits."	4
19	0	1	3	3	0	2	3	1	0	2	0	3	1	1	2	0	0	3.0	1	9	"The baby will be cared for by their mother until it can ""walk"" on its own."	4
22	0	0	5	2	2	4	0	2	0	2	0	4	0	0	1	0	0	4.0	0	10	"The books ""won't be forgotten"" in the library, but ""will be read"" with excitement and enthusiasm"	4
21	0	1	5	0	1	2	2	1	0	2	0	5	1	1	3	0	0	3.0	1	7	"The penguins ""will"" be studied, but they won't be domesticated, for they are wild creatures."	4
54	2	1	4	5	4	8	3	3	5	8	0	6	2	3	5	4	0	5.0	3	40	Jessica will travel but won't be accompanied by Tim, and Frank will eat something healthy to avoid gaining excess weight, and Sarah will attend the meeting even if her son has a temperature, but Jack will definitely not go on the field trip due to his fear of snakes.	4
28	0	0	6	2	1	4	1	2	0	2	0	5	4	1	2	1	0	3.0	1	17	"The new train will be connecting several major stations ""shall"" be on time, but it ""might"" not travel at the fastest speeds."	4
16	0	1	3	1	0	2	1	2	0	2	0	2	0	1	2	0	0	3.0	1	7	"The books on the shelf will not fall if they ""won't"" move."	4
31	1	1	9	0	2	3	2	2	0	4	0	4	1	1	3	1	0	5.0	1	10	"The cat ""will"" sleep and purr, ""won't"" chase any mice, and ""isn't"" as lazy as its owner thinks it is."	4
16	1	0	6	0	0	1	1	1	0	1	0	3	0	0	1	0	0	2.0	0	6	"The children ""won't"" be playing outside, ""won't"" they?"	4
39	1	0	10	2	1	7	0	2	0	3	0	5	7	2	2	1	0	4.0	2	25	"The new smart phone will probably be able to ""will"" take better selfies, ""safe"" from any potential security threats, but ""flash"" features will be limited, compared to earlier models."	4
