n_tokens	ADV	SCONJ	PUNCT	ADP	CCONJ	NOUN	PRON	DET	PROPN	VERB	NUM	AUX	ADJ	subord_post	subj_pre	obj_post	subord_pre	max_depth	subord_prop	max_link	sentence	DET_constraint
9	0	0	1	1	0	2	2	1	0	1	0	0	1	0	0	0	0	3.0	0	3	There is a beautiful garden in our backyard.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The cat is on the mat.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The dog waits by the fire.	1
6	0	0	1	1	0	2	0	1	0	1	0	0	0	0	1	0	0	2.0	0	2	The cat sits on themat.	1
8	0	0	1	1	0	2	1	2	0	0	0	1	0	0	1	0	0	3.0	0	5	The book on the table is mine.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sits on the mat.	1
10	0	0	2	1	0	3	0	3	0	1	0	0	0	0	1	0	0	2.0	0	4	Every morning, the sun rises over the horizon.	1
5	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	2.0	0	2	All cats are fluffy.	1
12	0	0	1	2	0	4	1	3	0	1	0	0	0	0	1	1	0	3.0	0	4	Every dog in the park has a toy in its mouth.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	1
8	0	0	1	1	0	2	1	1	0	1	1	0	0	0	0	0	0	3.0	0	3	There are ten books on the table.	1
11	0	0	1	1	0	3	1	2	0	1	0	1	1	0	1	1	0	2.0	0	6	All students must bring their own pencils to the exam.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sits on the mat.	1
8	0	0	1	1	0	2	1	1	0	1	1	0	0	0	0	0	0	3.0	0	3	There are five apples on the table.	1
8	0	0	1	1	0	2	1	2	0	0	0	1	0	0	1	0	0	3.0	0	5	All books on the table are yours.	1
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	2	The sun rises every day.	1
7	0	0	1	0	0	2	1	1	0	1	0	0	1	0	1	1	0	2.0	0	3	Each ball has its own color.	1
5	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	1	0	2.0	0	2	You have two options.	1
9	0	0	2	1	0	2	1	1	0	1	1	0	0	0	0	0	0	2.0	0	5	"""There are five cups on the table."	1
8	0	0	1	1	0	2	0	2	0	1	0	0	1	0	1	0	0	2.0	0	4	Every second counts in a marathon race.	1
8	0	0	1	1	0	2	1	2	0	1	0	0	0	0	1	1	0	3.0	0	3	You have a book on the table.	1
8	0	0	1	1	0	2	1	1	0	1	1	0	0	0	0	0	0	3.0	0	3	There are seven apples on the table.	1
8	0	0	1	1	0	2	1	1	0	1	0	0	1	0	0	0	0	2.0	0	5	There are several apples on the table.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sits on the mat.	1
8	0	0	1	1	0	2	1	2	0	1	0	0	0	0	0	0	0	2.0	0	5	There is a blueball on the table.	1
11	0	0	2	1	0	3	1	2	0	1	0	0	1	0	1	1	0	3.0	0	3	Every morning, I drink a fresh cup of coffee.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The sun sets over the horizon.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	1
7	0	0	1	1	0	2	0	1	0	1	0	1	0	0	1	0	0	2.0	0	2	The table is filled with sand.	1
10	0	0	1	1	0	4	0	2	0	1	1	0	0	0	1	1	0	3.0	0	5	Every car in the parking lot has four tires.	1
8	0	0	1	1	0	2	1	2	0	0	0	1	0	0	1	0	0	3.0	0	5	All books on the table are mine.	1
8	0	0	1	1	0	2	0	2	0	0	0	1	1	0	1	0	0	3.0	0	5	Every apple on the tree is ripe.	1
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	Every dog has a bone.	1
8	0	0	1	1	0	2	1	2	0	0	0	1	0	0	1	0	0	3.0	0	5	The books on the table are mine.	1
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	The cat sat on the mat.	1
7	0	0	1	1	0	2	0	2	0	0	0	1	0	0	1	0	0	2.0	0	4	The book is on the table.	1
8	0	0	1	1	0	2	0	2	0	0	0	1	1	0	1	0	0	3.0	0	5	Every apple on the tree is ripe.	1
9	0	0	2	0	0	2	0	2	0	1	0	0	2	0	1	1	0	2.0	0	5	Every cat has a soft, furry tail.	1
6	0	0	1	0	0	2	0	2	0	1	0	0	0	0	1	1	0	2.0	0	2	The dog chased the ball.	1
8	0	0	1	1	0	2	1	1	0	1	1	0	0	0	0	0	0	3.0	0	3	There are seven apples on the table.	1
8	0	0	1	1	0	2	1	1	0	1	1	0	0	0	0	0	0	3.0	0	3	There are three apples on the table.	1
7	0	0	1	0	0	2	0	1	0	0	0	1	2	0	1	0	0	3.0	0	2	The cats sleek coats were spotless.	1
7	0	0	1	1	0	2	0	1	0	1	1	0	0	0	1	0	0	2.0	0	3	Three cats sit in the sun.	1
10	0	0	1	1	2	3	0	2	0	1	0	0	0	0	1	0	0	3.0	0	4	Both the cats and the kittens purr in contentment.	2
9	0	0	1	0	1	2	1	3	0	0	0	1	0	0	1	0	0	3.0	0	5	Both that book and this notebook are mine.	2
10	0	0	1	2	0	2	1	3	0	0	0	1	0	0	1	0	0	4.0	0	8	Both of the books on the shelf are mine.	2
11	0	0	1	1	2	3	0	3	0	0	0	1	0	0	1	0	0	3.0	0	7	Both the dogs and the balls are in the park.	2
8	0	0	1	1	0	2	0	2	0	1	1	0	0	0	1	0	0	2.0	0	4	Both cats sat on the two mats.	2
11	0	0	1	1	1	3	1	3	0	0	0	1	0	0	1	0	0	3.0	0	7	Both these books and his pens are on the table.	2
8	0	0	1	1	0	2	1	1	0	1	0	0	1	0	1	0	0	2.0	0	4	Both cats lie on their red mats.	2
14	1	0	1	1	2	5	2	1	0	0	0	1	0	0	1	0	0	3.0	0	10	Both her cats and their food bowls are always on the kitchen counter.	2
9	0	0	1	0	2	3	0	2	0	1	0	0	0	0	1	1	0	3.0	0	4	Both the cats and the mice have fur.	2
7	0	0	1	1	0	1	0	2	0	0	0	1	1	0	1	0	0	3.0	0	5	Both of these balls are red.	2
6	0	0	1	0	0	2	0	1	0	1	0	0	1	0	1	1	0	2.0	0	2	Both cats have blue collars.	2
13	0	0	1	3	0	2	1	3	0	1	0	2	0	0	1	0	0	4.0	0	9	Both of the books on the table have been read by me.	2
6	0	0	1	0	0	2	1	1	0	1	0	0	0	0	1	1	0	2.0	0	2	Both cats licked their paws.	2
13	1	0	1	1	2	3	0	3	0	1	0	0	1	0	1	0	0	3.0	0	5	Both the cats and the kittens slept soundly in the warm sunshine.	2
9	0	0	1	0	2	2	0	2	0	0	0	1	1	0	1	0	0	3.0	0	5	Both the apples and the oranges were delicious.	2
11	0	0	1	0	1	1	0	3	0	1	1	0	3	0	1	1	0	3.0	0	3	The first two balls hit the second and the fourth.	2
8	0	0	1	0	1	2	0	2	0	0	0	1	1	0	1	0	0	3.0	0	4	Both the apples and oranges are sweet.	2
10	0	0	1	2	0	2	0	3	0	0	0	1	1	0	1	0	0	4.0	0	8	Both of the apples on the table are red.	2
10	0	0	1	1	0	2	1	2	0	0	1	1	1	0	1	0	0	3.0	0	5	The other two books on the shelf are mine.	2
10	0	0	1	1	1	4	1	1	0	1	0	0	0	0	1	1	0	3.0	0	4	Both birds and squirrels have nuts in their nests.	2
8	0	0	1	0	1	3	1	1	0	1	0	0	0	0	1	1	0	3.0	0	2	Both eyes reflected her fear and sadness.	2
7	0	0	1	1	0	1	1	2	0	0	0	1	0	0	1	0	0	3.0	0	5	Both of these apples are mine.	2
7	0	0	1	0	0	2	1	1	0	1	0	0	1	0	1	1	0	2.0	0	3	Both cats licked their clean paws.	2
7	0	0	1	1	0	1	0	2	0	0	0	1	1	0	1	0	0	3.0	0	5	Both of the apples are red.	2
12	0	0	1	1	2	3	2	0	0	2	0	0	1	1	1	0	0	3.0	1	4	Both her cats and birds prefer sleeping in their cozy boxes.	2
6	0	0	1	0	0	2	0	1	0	1	0	0	1	0	1	1	0	2.0	0	2	Both houses have red doors.	2
13	0	1	1	0	1	3	0	2	0	3	0	1	0	2	1	1	0	4.0	2	3	Both eggs and buns need to be warmed before serving the sandwich.	2
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	Both cats sat on each mat.	2
7	0	0	1	1	0	1	0	2	0	0	0	1	1	0	1	0	0	3.0	0	5	Both of those apples are red.	2
12	0	0	1	1	1	2	0	2	0	1	1	0	3	0	1	0	0	4.0	0	7	The two cats sit on the red and green striped mat.	2
6	0	0	1	0	0	1	0	2	0	0	0	1	1	0	1	0	0	2.0	0	2	Both these balls are red.	2
10	0	0	1	1	1	3	0	2	0	0	0	1	1	0	1	0	0	3.0	0	4	Both birds and nests were wet after the rain.	2
11	0	0	1	2	0	3	0	3	0	1	0	0	1	0	1	1	0	4.0	0	7	Both of the books on the table have red covers.	2
7	0	0	1	1	0	2	0	2	0	1	0	0	0	0	1	0	0	2.0	0	3	Both cats slept under the bridge.	2
11	0	0	1	2	0	3	0	2	0	1	1	0	1	0	1	0	0	2.0	0	7	Both cats sat on the mat with two white cushions.	2
9	0	0	1	1	0	3	0	2	0	1	0	0	1	0	1	1	0	3.0	0	4	Both books on the table have red covers.	2
7	0	0	1	1	0	1	0	2	0	0	0	1	1	0	1	0	0	3.0	0	5	Both of the balls are red.	2
23	1	0	9	2	2	0	3	2	0	3	0	0	0	3	1	0	0	5.0	3	13	" ""both"" and ""these"" or ""all"", depending on how you want to look at it)."	2
13	0	0	1	1	2	4	0	3	0	0	0	1	1	0	1	0	0	3.0	0	5	Both the red apple and the round ball are on the table.	2
10	1	0	1	2	0	2	0	3	0	1	0	0	0	0	1	0	0	3.0	0	4	Both of the cats slept soundly on the mat.	2
13	1	0	1	1	1	3	3	1	0	1	0	1	0	0	1	0	0	3.0	0	6	Both her brothers and their dogs were excitedly waiting for her arrival.	2
8	0	0	1	0	1	2	0	2	0	0	0	1	1	0	1	0	0	3.0	0	4	Both these apples and oranges are ripe.	2
11	2	0	1	0	1	3	2	1	0	1	0	0	0	0	1	1	0	3.0	0	4	Both her dogs and cats eagerly await her return home.	2
10	0	0	1	2	0	3	0	3	0	1	0	0	0	0	1	0	0	3.0	0	3	Both stones rest at the edge of the pond.	2
7	1	0	1	0	0	2	0	1	0	1	0	0	0	0	1	0	0	3.0	0	2	Both cats' tails flicked nervously.	2
8	0	0	1	0	1	3	0	1	0	1	0	0	1	0	1	1	0	3.0	0	3	Both apples and oranges contain essential nutrients.	2
14	0	1	1	0	2	2	1	2	0	3	0	1	0	2	2	0	0	3.0	2	4	Both the apples and the oranges need to be eaten before they spoil.	2
10	0	0	1	1	2	2	1	2	0	0	0	1	0	0	1	0	0	3.0	0	7	Both this and that book are in the cart.	2
8	1	0	1	1	0	2	0	1	0	1	0	0	1	0	1	0	0	2.0	0	4	Both eyes shone brightly with unshed tears.	2
10	0	0	1	2	0	3	1	2	0	1	0	0	0	0	1	0	0	3.0	0	4	Both birds in their nests huddled against the cold.	2
11	0	0	1	1	0	2	0	2	0	1	0	0	4	0	1	1	0	3.0	0	6	Each many of these little green apples have several spots.	4
21	2	0	1	4	0	3	1	4	0	1	2	0	3	0	1	0	0	4.0	0	10	Each of these three specific apples on the red plate tastes differently from that one unripe pear next to them.	4
13	0	0	1	2	0	3	0	2	0	1	2	0	2	0	1	1	0	4.0	0	8	Each of these two houses with red doors has three beautiful bedrooms.	4
27	0	0	5	2	1	7	1	5	0	1	0	0	5	0	1	1	0	4.0	0	21	Everyone has a different pair of shoes on, those black boots, those red sandals, those white sneakers, and those grey ankle boots.	4
12	0	0	1	0	0	2	0	2	1	1	0	0	5	0	1	0	0	2.0	0	5	Every other single second Monday afternoon those red apples become ripe.	4
13	1	0	1	2	0	0	3	2	0	1	0	2	1	0	2	0	1	4.0	1	9	Each of these many that have been yours now belongs to her.	4
10	0	0	1	0	0	1	1	3	0	0	1	1	2	0	3	0	0	2.0	0	7	Every other all these two their apples are red.	4
19	1	0	1	1	0	4	1	2	0	2	1	0	6	0	1	1	1	4.0	1	11	Every other afternoon one particular blue cat sitting under this big red umbrella licks its black paw carefully.	4
13	0	0	1	1	0	2	1	4	0	1	1	1	1	0	3	0	0	2.0	0	7	Every other all these two their books are scattered on the floor.	4
19	0	0	1	3	0	5	0	3	0	2	0	0	3	1	1	2	0	4.0	1	10	Each of these every under ripe apple's soft spots requires extra care during transport to prevent spoilage.	4
11	0	0	1	0	0	2	1	2	0	1	0	0	4	1	1	1	0	3.0	1	5	The few more all our red apples have large pits.	4
15	0	0	1	3	0	2	1	2	0	1	2	0	3	0	1	1	0	4.0	0	5	Every single one of those red apples has at least three bruises on it.	4
13	0	0	1	2	1	2	3	2	0	1	0	0	1	0	2	0	0	4.0	0	7	Every this that and those under the table belong to different people.	4
13	0	0	1	0	0	3	0	2	0	1	0	0	5	0	1	1	0	3.0	0	7	Every other large black cat's red collar holds a golden bell.	4
21	0	0	4	2	0	4	0	3	0	2	0	0	6	0	1	0	0	3.0	0	11	Every other afternoon at the nearby park, some tall, aging men huddled around several old, tattered blankets.	4
24	0	0	4	2	1	6	0	6	0	1	0	0	4	0	1	1	0	3.0	0	15	Each of these boxes has a different kind of pasta, a specific shape, a unique origin, and an individual flavor.	4
13	0	0	1	1	0	2	1	3	0	1	0	1	3	0	2	1	1	4.0	1	8	Each of these many that's some apples have small red spots.	4
9	0	0	1	0	0	2	0	2	0	1	0	0	3	0	1	1	0	2.0	0	4	Each little those few apples possess unique shapes.	4
22	0	0	1	2	1	5	0	5	0	1	1	0	6	0	1	1	0	4.0	0	10	Each of those few last two apples on the tree bears a round ripe red skin and a soft juicy interior.	4
13	0	0	1	1	0	2	1	3	0	1	1	0	3	0	1	1	0	3.0	0	7	Each of every his two red marbles has a tiny blue spot.	4
17	0	0	2	1	1	3	1	4	0	1	1	1	2	0	2	1	0	3.0	0	10	Each of these three books has a different author, and the other one is mine.	4
13	0	0	1	2	0	2	0	2	0	0	1	1	4	0	1	0	0	4.0	0	9	Every other one of those red apples with big seeds is overripe.	4
15	0	0	2	1	0	2	0	4	0	1	1	0	4	0	1	1	0	3.0	0	6	Every one of these all red apples has a several large, shiny blemishes.	4
24	0	0	3	2	0	3	2	4	1	2	0	0	6	1	2	1	0	5.0	1	9	Every other Tuesday, each child brings his own specific, particular red apples to share with those all present in the classroom.	4
31	2	0	4	0	1	7	1	4	0	5	1	0	6	1	4	3	0	4.0	1	24	Everyone here needs theirown new pens, this yellow notepad has onlyfive sheets left, these brown cookies taste wonderful each time, yet another box contains just ten biscuits.	4
21	1	0	3	3	0	5	0	4	0	1	1	0	3	0	1	1	0	4.0	0	13	Each of these two specific apples on that round, red table, has a slightly different shade of ripeness.	4
12	0	0	1	0	0	3	1	2	0	1	1	0	3	0	1	1	0	2.0	0	5	Every morning these four puppies eat several their own raw hides.	4
18	1	0	2	0	1	4	0	2	0	1	2	0	5	0	1	1	0	4.0	0	10	Each little ant has four tiny eyes, few red ones and almost all two black antennae.	4
15	0	0	2	2	0	5	0	2	0	1	0	0	3	0	1	1	0	4.0	0	10	Every afternoon, particular books on specific tables in this library attract various readers.	4
18	1	0	4	1	1	5	1	4	0	1	0	0	0	0	1	0	0	3.0	0	14	Every afternoon, each dog from his kennel, these toys, and those bones chew contentedly.	4
13	0	0	1	1	0	4	0	3	0	1	1	0	2	0	1	1	0	3.0	0	7	Every afternoon all the children with red shoes follow four specific steps.	4
20	0	0	1	2	0	5	0	4	0	1	1	0	6	0	1	1	0	4.0	0	10	Every other large green apple on the first three rows of the wooden table has a small bite mark.	4
15	0	0	1	2	0	3	0	4	0	1	3	0	1	0	1	1	0	4.0	0	8	Each every one of these two sets of three balls have a unique color.	4
12	0	0	1	2	0	2	0	4	0	1	1	0	1	0	1	1	0	4.0	0	7	Each of every two of those apples possesses a distinct flavor.	4
11	0	0	1	1	0	2	1	2	0	1	0	0	3	0	1	1	0	3.0	0	7	Each of every several its unique balls require individual attention.	4
15	1	0	1	1	0	3	0	2	0	1	1	0	5	0	1	1	0	3.0	0	5	Both these here three red boxes contain equal number of identical small blue marbles.	4
18	0	1	1	3	1	3	1	3	0	1	1	2	1	0	1	0	0	3.0	0	16	Each of these three specific books on my desk and that on the table has been dog-eared.	4
13	0	0	1	0	0	3	1	5	0	1	1	0	1	1	1	1	0	3.0	1	6	All those every one those his four red apples share a bowl.	4
14	1	0	1	0	1	3	2	2	0	1	3	0	0	0	1	1	0	3.0	0	6	Both my two cats and your five kittens all have six toys apiece.	4
13	0	0	1	1	0	3	2	2	0	1	0	0	3	0	1	1	0	2.0	0	10	Everyone puts these their own red apples in those big wicker baskets.	4
16	0	0	11	0	1	0	2	1	0	0	0	0	1	0	0	0	0	3.0	0	8	" ""every,"" ""this,"" ""those,"" and ""many."	4
16	0	0	3	0	0	2	0	2	0	1	0	0	8	0	1	1	0	2.0	0	8	Every other second big yellow bird lays another tiny, bright blue, shiny egg.	4
18	0	0	4	1	1	2	0	3	0	1	1	0	5	0	1	1	0	5.0	0	12	Every one of these blue, yellow, old, and shiny marbles has a unique pattern.	4
20	0	0	2	3	0	5	0	5	0	1	2	0	2	0	1	1	0	4.0	0	9	The fewest of these three all-terrain vehicles have more sand on each four tires than the others.	4
16	1	0	4	1	1	1	0	2	0	1	1	0	4	0	1	0	0	5.0	0	12	Every one of those blue, big, old, and new balls lies here.	4
22	0	0	3	3	0	6	1	4	0	3	1	0	1	2	1	1	0	5.0	2	7	Every morning, each apple on the counter has a single slice taken off, three cinnamon sticks placed beside it.	4
15	0	0	1	1	0	2	1	4	0	1	0	0	5	0	1	1	0	3.0	0	10	Each of these few every several its own unique box contains a distinct item.	4
15	0	0	1	2	0	3	1	2	0	1	3	0	2	0	1	0	0	3.0	0	6	Every one of those two black dogs fights for their two old bone toys.	4
14	0	0	4	1	0	2	0	2	0	1	0	1	2	0	1	0	0	2.0	0	7	Every, no, several, other houses were damaged by the storm.	4
14	0	0	1	2	0	2	0	4	0	1	1	0	3	0	1	1	0	4.0	0	9	Each of every two of those big red apples has a small bruise.	4
45	0	0	6	9	1	10	0	5	1	2	1	0	9	1	0	1	0	6.0	1	36	In each of those big, beautiful, old Victorian houses on every fifth street corner around the town's square, under three layers of antique wallpaper and beside thick, dusty carpets from Europe, lies a hidden treasure forgotten for decades.	6
12	0	0	1	0	1	1	2	3	0	0	0	1	3	0	1	0	0	2.0	0	7	Both all its those their every several apples were shiny red.	6
24	3	0	2	2	0	4	0	4	0	4	0	0	5	1	1	1	0	6.0	1	7	Each of those numerous hidden chambers contained some unique intricately designed artistic relics; none of the other more commonly found artifacts compared.	6
14	0	0	1	0	0	2	1	3	0	1	1	0	5	0	1	1	0	3.0	0	7	Every all those several many our red apples possess five shiny smooth surfaces.	6
22	0	0	5	2	0	4	0	3	0	1	1	0	6	0	1	1	0	3.0	0	13	Each of these two boxes holds a pair of such identical red, square, glass, watertight, antique keys.	6
13	0	0	1	0	0	2	4	2	0	1	0	0	3	0	2	1	0	4.0	0	8	Every other all its several their her his box contain different shapes.	6
14	0	0	1	0	0	1	3	4	0	0	0	1	4	0	2	0	0	2.0	0	9	All these my few those its our every third such ball are red.	6
14	1	0	1	0	0	1	1	3	0	1	0	1	5	0	3	0	0	2.0	0	10	Every other single all those several its own specific eggs were perfectly cooked.	6
21	0	0	3	2	0	5	0	4	0	3	2	0	2	0	3	2	0	4.0	0	8	Each of those three pairs contains two apples; some of those pairs have ripe ones, others have unripe.	6
13	0	0	1	0	0	0	7	3	0	0	0	1	1	0	1	0	0	3.0	0	9	Every all these my our your its her their those were happy.	6
13	0	1	1	0	0	1	4	2	0	1	0	1	1	0	2	0	0	3.0	0	9	These all her that our its every other's possessions were stolen.	6
47	0	0	6	6	1	13	3	7	0	1	0	0	10	0	1	1	0	4.0	0	24	Every few years, this particular house at the end of our street with the big maple tree, over which the red cardinal perches, has fresh paint on its siding, new shutters, and a new garage door with a smooth automatic opener.	6
11	0	0	1	0	0	2	2	3	0	1	1	0	1	0	2	1	0	2.0	0	4	All every its our two these apples have different shapes.	6
14	0	0	1	1	0	2	2	5	0	1	0	0	2	0	1	0	0	2.0	0	6	All those each my every several toys lie on the that blue mat.	6
35	1	0	5	2	1	7	2	3	0	1	4	0	9	0	1	1	0	4.0	0	22	Each of my all six uncles has exactly one old red car, a distinctive blue house, two new blue bikes, several green trees in their gardens, and two black cats.	6
14	0	0	1	0	0	2	2	6	0	1	0	0	2	0	1	1	0	3.0	0	7	All these few those her their each every box contains a different item.	6
